,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.445,0.447,0.069,0.141,0.044,0.144,0.042,0.255,0.811,0.397,0.898,0.734,0.297,0.145,0.934,0.042,0.192,0.176,0.049,0.293,0.379,0.087,0.164,0.344,0.243,0.346,0.117,0.279,0.282,0.08,0.318,0.302,0.141,0.096,0.212,0.375,0.127,0.34,0.262,0.523,0.292,0.444,0.18,0.125,0.291,0.753,0.1,0.448,0.376,0.18,0.136,0.415,0.243,0.111,0.187,0.22,0.473,0.172,0.088,0.084,0.313,0.208,0.652,0.144,0.115,0.357,0.307,0.506,0.753,0.015,0.136,0.529,0.315,0.368,0.255,0.828,0.165,0.21,0.096,0.057,0.199,0.026,0.306,0.082,0.041,0.512,0.155,0.329,0.323,0.668,0.151,0.701,0.149,0.178,0.16,0.842,0.291,0.431,0.082
1,0.445,1.0,0.241,0.457,0.111,0.071,0.6,0.085,0.954,0.214,0.438,0.612,0.115,0.425,0.346,0.473,0.018,0.496,0.322,0.375,0.466,0.41,0.473,0.215,0.166,0.271,0.446,0.098,0.34,0.421,0.079,0.317,0.426,0.253,0.471,0.561,0.571,0.64,0.325,0.593,0.07,0.312,0.407,0.759,0.347,0.194,0.453,0.038,0.438,0.244,0.47,0.092,0.018,0.282,0.156,0.289,0.52,0.387,0.215,0.181,0.074,0.357,0.351,0.417,0.127,0.711,0.435,0.225,0.074,0.691,0.228,0.276,0.683,0.226,0.252,0.275,0.599,0.235,0.557,0.213,0.221,0.675,0.118,0.666,0.758,0.133,0.062,0.596,0.866,0.339,0.208,0.543,0.586,0.316,0.032,0.114,0.432,0.672,0.379,0.178
2,0.447,0.241,1.0,0.085,0.099,0.294,0.035,0.28,0.195,0.714,0.364,0.281,0.268,0.023,0.196,0.609,0.08,0.102,0.85,0.048,0.328,0.802,0.086,0.2,0.954,0.166,0.373,0.473,0.799,0.132,0.049,0.135,0.031,0.159,0.088,0.08,0.056,0.068,0.144,0.221,0.141,0.037,0.756,0.025,0.631,0.917,0.18,0.026,0.244,0.05,0.101,0.044,0.002,0.457,0.376,0.102,0.107,0.206,0.189,0.558,0.038,0.15,0.79,0.585,0.061,0.131,0.033,0.055,0.158,0.256,0.231,0.149,0.058,0.944,0.055,0.26,0.18,0.206,0.072,0.499,0.293,0.003,0.491,0.011,0.106,0.502,0.156,0.038,0.391,0.153,0.867,0.068,0.394,0.776,0.399,0.092,0.715,0.017,0.025,0.539
3,0.069,0.457,0.085,1.0,0.073,0.119,0.37,0.117,0.639,0.248,0.721,0.026,0.426,0.176,0.026,0.053,0.032,0.261,0.204,0.594,0.672,0.036,1.0,0.087,0.156,0.009,0.7,0.097,0.086,0.061,0.001,0.172,0.181,0.009,1.0,0.504,0.282,0.398,0.007,0.251,0.596,0.076,0.015,0.688,0.107,0.187,0.026,0.447,0.001,0.003,0.263,0.0,0.395,0.003,0.114,0.006,0.48,0.011,0.089,0.205,0.001,0.01,0.113,0.005,0.0,0.329,0.172,0.002,0.602,0.032,0.425,0.005,0.119,0.15,0.0,0.067,0.01,0.083,0.481,0.226,0.214,0.551,0.225,0.185,0.922,0.241,0.559,0.335,0.277,0.013,0.206,0.463,0.013,0.164,0.177,0.069,0.057,0.194,0.012,0.216
4,0.141,0.111,0.099,0.073,1.0,0.552,0.292,0.519,0.099,0.008,0.013,0.194,0.143,0.44,0.319,0.106,0.344,0.046,0.261,0.032,0.086,0.284,0.051,0.425,0.168,0.343,0.041,0.157,0.327,0.207,0.649,0.059,0.423,0.307,0.062,0.249,0.276,0.293,0.327,0.267,0.128,0.478,0.298,0.023,0.568,0.208,0.472,0.587,0.32,0.841,0.036,0.769,0.555,0.142,0.133,0.306,0.268,0.638,0.43,0.321,0.669,0.359,0.302,0.225,0.758,0.302,0.457,0.117,0.139,0.204,0.139,0.333,0.309,0.166,0.822,0.005,0.293,0.385,0.248,0.35,0.15,0.105,0.564,0.387,0.055,0.577,0.16,0.297,0.339,0.384,0.011,0.287,0.241,0.296,0.069,1.0,0.089,0.371,0.193,0.307
5,0.044,0.071,0.294,0.119,0.552,1.0,0.233,1.0,0.096,0.019,0.016,0.126,0.121,0.308,0.752,0.055,0.014,0.079,0.63,0.144,0.017,0.506,0.122,0.898,0.379,0.234,0.022,0.522,0.583,0.622,0.061,0.061,0.271,0.748,0.112,0.021,0.168,0.264,0.642,0.375,0.209,0.447,0.524,0.008,0.77,0.451,0.202,0.469,0.563,0.316,0.083,0.143,0.52,0.28,0.337,0.733,0.025,0.574,0.876,0.645,0.075,0.703,0.618,0.3,0.144,0.349,0.27,0.516,0.186,0.205,0.268,0.756,0.209,0.457,0.3,0.208,0.146,0.892,0.027,0.598,0.127,0.008,0.811,0.347,0.065,0.784,0.182,0.23,0.352,0.707,0.057,0.112,0.307,0.673,0.282,0.54,0.092,0.324,0.4,0.608
6,0.144,0.6,0.035,0.37,0.292,0.233,1.0,0.201,0.561,0.01,0.332,0.399,0.013,0.745,0.599,0.123,0.074,0.325,0.12,0.366,0.454,0.186,0.36,0.24,0.05,0.071,0.379,0.119,0.234,0.474,0.21,0.035,0.771,0.489,0.329,0.735,0.828,0.983,0.26,0.811,0.031,0.734,0.158,0.62,0.29,0.045,0.448,0.006,0.265,0.409,0.335,0.282,0.079,0.033,0.097,0.458,0.701,0.487,0.264,0.0,0.177,0.321,0.227,0.119,0.284,0.846,0.785,0.34,0.031,0.5,0.199,0.511,0.822,0.048,0.37,0.251,0.512,0.269,0.735,0.003,0.146,0.644,0.24,0.938,0.479,0.27,0.036,1.0,0.576,0.333,0.02,0.927,0.346,0.245,0.037,0.32,0.094,0.91,0.434,0.0
7,0.042,0.085,0.28,0.117,0.519,1.0,0.201,1.0,0.077,0.008,0.024,0.117,0.149,0.261,0.713,0.068,0.02,0.088,0.606,0.137,0.02,0.493,0.099,0.885,0.394,0.219,0.013,0.496,0.582,0.628,0.051,0.076,0.255,0.777,0.114,0.027,0.191,0.286,0.663,0.35,0.18,0.436,0.484,0.004,0.773,0.463,0.18,0.475,0.568,0.327,0.105,0.126,0.545,0.248,0.378,0.739,0.021,0.585,0.878,0.601,0.076,0.691,0.626,0.296,0.155,0.385,0.287,0.543,0.191,0.198,0.296,0.759,0.213,0.453,0.302,0.215,0.163,0.876,0.019,0.598,0.136,0.015,0.798,0.347,0.077,0.804,0.212,0.215,0.346,0.729,0.066,0.116,0.341,0.664,0.29,0.538,0.091,0.327,0.395,0.626
8,0.255,0.954,0.195,0.639,0.099,0.096,0.561,0.077,1.0,0.132,0.46,0.423,0.065,0.321,0.279,0.309,0.041,0.476,0.316,0.424,0.475,0.296,0.628,0.182,0.166,0.25,0.526,0.081,0.309,0.298,0.079,0.272,0.335,0.222,0.62,0.497,0.475,0.595,0.283,0.491,0.092,0.24,0.326,0.795,0.335,0.215,0.261,0.112,0.365,0.175,0.51,0.082,0.027,0.221,0.168,0.211,0.476,0.263,0.183,0.203,0.064,0.276,0.284,0.29,0.066,0.693,0.321,0.193,0.085,0.533,0.278,0.207,0.534,0.248,0.186,0.262,0.381,0.188,0.545,0.217,0.218,0.647,0.175,0.574,0.879,0.176,0.089,0.587,0.82,0.249,0.141,0.548,0.428,0.318,0.028,0.114,0.281,0.576,0.336,0.205
9,0.811,0.214,0.714,0.248,0.008,0.019,0.01,0.008,0.132,1.0,0.614,0.497,0.808,0.127,0.023,0.815,0.02,0.065,0.44,0.028,0.522,0.471,0.26,0.006,0.705,0.143,0.577,0.203,0.451,0.05,0.005,0.289,0.108,0.0,0.232,0.202,0.157,0.02,0.078,0.161,0.616,0.043,0.469,0.088,0.189,0.61,0.422,0.052,0.183,0.115,0.087,0.031,0.234,0.189,0.205,0.013,0.192,0.185,0.012,0.17,0.009,0.065,0.428,0.509,0.031,0.033,0.103,0.126,0.646,0.391,0.024,0.0,0.14,0.604,0.131,0.235,0.444,0.005,0.177,0.166,0.105,0.094,0.219,0.012,0.125,0.225,0.605,0.015,0.22,0.069,0.963,0.103,0.429,0.384,0.204,0.014,0.807,0.01,0.165,0.173
