,0
0,122
1,88
2,17
3,196
4,56
5,160
6,81
7,72
8,73
9,159
10,94
11,73
12,108
13,176
14,160
15,14
16,61
17,87
18,160
19,56
20,156
21,171
22,97
23,178
24,46
25,108
26,72
27,165
28,120
29,2
30,17
31,143
32,195
33,85
34,93
35,101
36,120
37,150
38,7
39,55
40,177
41,26
42,132
43,109
44,89
45,26
46,188
47,111
48,83
49,78
50,146
51,121
52,96
53,91
54,36
55,102
56,148
57,127
58,131
59,146
60,51
61,49
62,31
63,146
64,12
65,111
66,98
67,71
68,94
69,45
70,65
71,88
72,16
73,45
74,127
75,165
76,178
77,152
78,176
79,4
80,179
81,174
82,40
83,142
84,138
85,155
86,78
87,102
88,141
89,4
90,15
91,29
92,170
93,153
94,22
95,110
96,43
97,183
98,130
99,153
