,0
0,0
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,1
199,1
