,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.046,0.223,0.05,0.025,0.19,0.111,0.386,0.222,0.105,0.087,0.057,0.232,0.229,0.831,0.037,0.072,0.061,0.178,0.139,0.088,0.003,0.214,0.06,0.072,0.1,0.014,0.184,0.262,0.173,0.036,0.052,0.012,0.09,0.062,0.147,0.025,0.094,0.039,0.215,0.072,0.049,0.057,0.274,0.119,0.187,0.176,0.17,0.033,0.002,0.199,0.211,0.083,0.81,0.227,0.071,0.17,0.181,0.202,0.061,0.045,0.379,0.054,0.234,0.151,0.318,0.373,0.16,0.191,0.726,0.053,0.102,0.454,0.028,0.03,0.064,0.257,0.182,0.076,0.207,0.039,0.266,0.166,0.539,0.038,0.016,0.163,0.097,0.023,0.047,0.09,0.145,0.798,0.016,0.063,0.06,0.2,0.104,0.181,0.156
1,0.046,1.0,0.03,0.19,0.012,0.43,0.166,0.314,0.337,0.022,0.04,0.052,0.343,0.362,0.157,0.009,0.129,0.08,0.027,0.015,0.003,0.004,0.057,0.122,0.004,0.016,0.026,0.042,0.68,0.089,0.01,0.007,0.034,0.137,0.02,0.15,0.027,0.054,0.001,0.004,0.003,0.068,0.013,0.079,0.037,0.219,0.233,0.07,0.04,0.042,0.296,0.005,0.012,0.057,0.03,0.003,0.333,0.006,0.03,0.004,0.024,0.138,0.044,0.01,0.231,0.081,0.36,0.265,0.069,0.114,0.239,0.02,0.372,0.0,0.067,0.142,0.003,0.046,0.003,0.417,0.066,0.002,0.832,0.363,0.001,0.097,0.258,0.86,0.0,0.951,0.006,0.012,0.077,0.015,0.014,0.14,0.36,0.038,0.063,0.067
2,0.223,0.03,1.0,0.025,0.117,0.008,0.024,0.3,0.005,0.049,0.072,0.262,0.202,0.192,0.109,0.116,0.027,0.219,0.021,0.069,0.33,0.232,0.052,0.017,0.166,0.059,0.184,0.053,0.007,0.011,0.248,0.261,0.037,0.035,0.015,0.026,0.268,0.106,0.1,0.222,0.172,0.033,0.378,0.009,0.023,0.118,0.011,0.253,0.047,0.042,0.086,0.192,0.361,0.318,0.019,0.231,0.032,0.38,0.177,0.172,0.296,0.206,0.021,0.257,0.002,0.0,0.111,0.134,0.067,0.216,0.008,0.042,0.015,0.05,0.03,0.026,0.293,0.306,0.013,0.012,0.012,0.273,0.005,0.019,0.096,0.054,0.098,0.097,0.057,0.054,0.018,0.11,0.1,0.152,0.2,0.029,0.004,0.025,0.071,0.223
3,0.05,0.19,0.025,1.0,0.021,0.141,0.196,0.023,0.072,0.192,0.065,0.517,0.021,0.016,0.04,0.026,0.03,0.689,0.092,0.005,0.041,0.002,0.21,0.023,0.115,0.192,0.035,0.188,0.166,0.002,0.009,0.027,0.12,0.835,0.001,0.101,0.005,0.075,0.109,0.004,0.114,0.001,0.091,0.111,0.021,0.285,0.135,0.065,0.002,0.178,0.013,0.006,0.012,0.042,0.061,0.072,0.126,0.003,0.039,0.119,0.228,0.51,0.003,0.022,0.019,0.008,0.074,0.284,0.023,0.009,0.025,0.187,0.058,0.152,0.003,0.027,0.012,0.056,0.01,0.163,0.116,0.019,0.123,0.066,0.084,0.045,0.263,0.286,0.148,0.264,0.018,0.003,0.011,0.115,0.089,0.022,0.078,0.044,0.011,0.09
4,0.025,0.012,0.117,0.021,1.0,0.005,0.053,0.001,0.0,0.002,0.198,0.194,0.017,0.016,0.063,1.0,0.045,0.136,0.0,0.001,0.163,0.044,0.001,0.028,0.273,0.0,0.825,0.0,0.018,0.097,0.119,0.7,0.117,0.001,0.022,0.0,0.127,0.189,0.523,0.004,0.233,0.072,0.006,0.002,0.488,0.006,0.018,0.113,0.037,0.159,0.004,0.005,0.099,0.007,0.0,0.212,0.001,0.002,0.158,0.234,0.05,0.009,0.016,0.051,0.039,0.123,0.0,0.005,0.053,0.039,0.038,0.001,0.057,0.49,0.05,0.035,0.009,0.203,0.002,0.007,0.069,0.059,0.009,0.059,0.522,0.027,0.003,0.001,0.47,0.006,0.001,0.004,0.082,0.646,0.197,0.04,0.0,0.0,0.052,0.092
5,0.19,0.43,0.008,0.141,0.005,1.0,0.711,0.078,0.85,0.046,0.168,0.044,0.076,0.073,0.134,0.005,0.03,0.055,0.207,0.059,0.176,0.026,0.122,0.043,0.171,0.059,0.019,0.134,0.165,0.022,0.124,0.003,0.0,0.055,0.146,0.463,0.126,0.174,0.013,0.01,0.162,0.004,0.108,0.281,0.022,0.009,0.903,0.092,0.029,0.002,0.064,0.001,0.189,0.16,0.181,0.167,0.036,0.058,0.033,0.159,0.128,0.128,0.09,0.036,0.128,0.06,0.095,0.013,0.026,0.158,0.138,0.043,0.155,0.032,0.031,0.023,0.025,0.0,0.289,1.0,0.423,0.018,0.632,0.147,0.014,0.152,0.012,0.543,0.035,0.412,0.254,0.025,0.121,0.145,0.2,0.032,0.855,0.022,0.023,0.07
6,0.111,0.166,0.024,0.196,0.053,0.711,1.0,0.005,0.319,0.126,0.169,0.089,0.007,0.008,0.097,0.056,0.044,0.126,0.078,0.01,0.136,0.159,0.148,0.046,0.069,0.117,0.072,0.174,0.191,0.133,0.256,0.074,0.246,0.055,0.449,0.383,0.26,0.161,0.095,0.165,0.063,0.105,0.145,0.231,0.061,0.032,0.886,0.145,0.065,0.207,0.029,0.12,0.195,0.048,0.087,0.108,0.166,0.287,0.177,0.068,0.223,0.129,0.292,0.199,0.004,0.108,0.096,0.039,0.026,0.025,0.037,0.121,0.05,0.199,0.058,0.06,0.22,0.001,0.053,0.695,0.903,0.193,0.189,0.064,0.107,0.077,0.037,0.303,0.174,0.191,0.041,0.025,0.075,0.181,0.15,0.064,0.313,0.088,0.046,0.134
7,0.386,0.314,0.3,0.023,0.001,0.078,0.005,1.0,0.137,0.219,0.018,0.039,0.89,0.878,0.129,0.006,0.034,0.037,0.179,0.12,0.164,0.002,0.17,0.051,0.044,0.207,0.015,0.188,0.113,0.122,0.101,0.009,0.044,0.024,0.092,0.06,0.071,0.023,0.012,0.136,0.033,0.197,0.204,0.022,0.067,0.463,0.019,0.11,0.194,0.058,0.259,0.125,0.186,0.808,0.187,0.1,0.313,0.22,0.165,0.043,0.085,0.327,0.106,0.212,0.215,0.113,0.256,0.46,0.027,0.726,0.068,0.207,0.047,0.007,0.21,0.048,0.181,0.08,0.146,0.076,0.01,0.205,0.158,0.048,0.011,0.016,0.476,0.446,0.012,0.438,0.155,0.13,0.281,0.002,0.024,0.036,0.119,0.048,0.024,0.147
8,0.222,0.337,0.005,0.072,0.0,0.85,0.319,0.137,1.0,0.039,0.079,0.017,0.089,0.093,0.175,0.0,0.06,0.031,0.337,0.211,0.227,0.005,0.13,0.115,0.206,0.038,0.011,0.114,0.076,0.08,0.033,0.001,0.045,0.043,0.107,0.365,0.029,0.078,0.026,0.017,0.205,0.185,0.096,0.253,0.059,0.063,0.639,0.102,0.23,0.048,0.038,0.029,0.185,0.221,0.347,0.254,0.035,0.008,0.041,0.199,0.027,0.065,0.074,0.02,0.425,0.041,0.06,0.066,0.064,0.176,0.149,0.045,0.287,0.014,0.255,0.072,0.007,0.009,0.543,0.824,0.141,0.017,0.72,0.251,0.029,0.232,0.059,0.32,0.021,0.285,0.546,0.126,0.105,0.108,0.181,0.072,1.0,0.047,0.069,0.102
9,0.105,0.022,0.049,0.192,0.002,0.046,0.126,0.219,0.039,1.0,0.263,0.379,0.166,0.169,0.013,0.0,0.09,0.332,0.293,0.195,0.129,0.081,0.556,0.1,0.074,1.0,0.006,0.586,0.176,0.223,0.35,0.003,0.183,0.135,0.214,0.295,0.368,0.242,0.001,0.238,0.086,0.275,0.029,0.339,0.009,0.354,0.115,0.294,0.276,0.144,0.205,0.251,0.161,0.235,0.319,0.059,0.219,0.232,0.038,0.077,0.003,0.323,0.177,0.12,0.111,0.179,0.162,0.339,0.118,0.044,0.019,1.0,0.024,0.002,0.254,0.082,0.174,0.156,0.12,0.052,0.193,0.12,0.0,0.018,0.002,0.001,0.321,0.01,0.004,0.023,0.144,0.236,0.002,0.001,0.198,0.091,0.037,0.195,0.135,0.271
