,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,1.0,0.005,0.074,0.069,0.365,0.346,0.17,0.011,0.081,0.006,0.122,0.374,0.065,0.424,0.067,0.003,0.006,0.014,0.353,0.019,0.061,1.0,0.155,0.0,0.401,0.0,0.064,0.076,0.337,0.297,0.042,0.067,0.284,0.004,0.017,0.037,0.282,0.006,0.154,0.38,0.416,0.082,0.154,0.008,0.519,0.194,0.011,0.101,0.015,0.245,0.237,0.189,0.006,0.213,0.015,0.073,0.007,0.274,0.039,0.019,0.024,0.007,0.285,0.296,0.006,0.015,0.486,0.403,0.119,0.19,0.069,0.059,0.524,0.0,0.204,0.12,0.385,0.295,0.495,0.045,0.33,0.045,0.136,0.14,0.0,0.096,0.127,0.395,0.009,0.0
1,0.005,1.0,0.011,0.0,0.013,0.021,0.009,0.007,0.03,0.275,0.002,0.022,0.255,0.015,0.0,0.0,0.009,0.352,0.016,0.479,0.219,0.003,0.015,0.084,0.029,0.477,0.002,0.678,0.036,0.033,0.058,0.679,0.024,0.442,0.227,0.38,0.034,0.294,0.014,0.006,0.032,0.019,0.018,0.552,0.01,0.036,0.26,0.007,0.0,0.002,0.064,0.009,0.156,0.01,0.256,0.008,0.279,0.014,0.035,0.573,0.235,0.509,0.035,0.039,0.386,0.175,0.012,0.0,0.006,0.061,0.0,0.0,0.024,0.522,0.023,0.009,0.021,0.005,0.012,0.161,0.025,0.005,0.007,0.059,0.119,0.026,0.0,0.012,0.0,0.091
2,0.074,0.011,1.0,0.491,0.052,0.088,0.029,0.64,0.321,0.005,0.017,0.239,0.023,0.368,0.023,0.462,0.0,0.022,0.082,0.039,0.03,0.087,0.773,0.018,0.256,0.007,0.167,0.031,0.265,0.292,0.003,0.035,0.086,0.004,0.002,0.018,0.087,0.0,0.763,0.08,0.062,0.331,0.006,0.0,0.048,0.666,0.004,0.07,0.407,0.118,0.024,0.084,0.004,0.376,0.005,0.506,0.004,0.57,0.529,0.011,0.008,0.003,0.1,0.288,0.0,0.011,0.056,0.124,0.68,0.019,0.454,0.024,0.046,0.009,0.664,0.634,0.233,0.437,0.073,0.033,0.037,0.779,0.119,0.004,0.002,0.737,0.003,0.041,0.384,0.026
3,0.069,0.0,0.491,1.0,0.035,0.02,0.015,0.532,0.407,0.0,0.012,0.293,0.003,0.253,0.041,0.278,0.0,0.001,0.024,0.006,0.002,0.077,0.53,0.002,0.283,0.0,0.329,0.006,0.225,0.087,0.001,0.004,0.019,0.0,0.001,0.001,0.023,0.006,0.525,0.052,0.034,0.407,0.0,0.0,0.028,0.403,0.002,0.018,0.599,0.062,0.006,0.047,0.0,0.486,0.002,0.71,0.0,0.585,0.346,0.0,0.0,0.0,0.017,0.086,0.0,0.0,0.082,0.203,0.562,0.004,0.59,0.026,0.061,0.0,0.399,0.582,0.273,0.454,0.079,0.004,0.001,0.57,0.323,0.003,0.003,0.439,0.002,0.04,0.242,0.001
4,0.365,0.013,0.052,0.035,1.0,0.633,0.585,0.06,0.06,0.063,0.231,0.213,0.243,0.527,0.126,0.004,0.045,0.084,0.666,0.102,0.23,0.382,0.052,0.002,0.226,0.015,0.048,0.072,0.359,0.371,0.273,0.064,0.51,0.007,0.092,0.093,0.511,0.071,0.062,0.36,0.414,0.048,0.342,0.004,0.574,0.25,0.062,0.242,0.0,0.41,0.505,0.203,0.097,0.174,0.088,0.07,0.052,0.275,0.051,0.07,0.094,0.067,0.526,0.387,0.034,0.122,0.517,0.161,0.12,0.508,0.018,0.128,0.54,0.009,0.243,0.14,0.225,0.325,0.523,0.127,0.497,0.056,0.234,0.625,0.004,0.11,0.03,1.0,0.014,0.004
5,0.346,0.021,0.088,0.02,0.633,1.0,0.771,0.052,0.054,0.093,0.293,0.231,0.312,0.65,0.011,0.003,0.062,0.072,1.0,0.074,0.306,0.384,0.068,0.002,0.236,0.022,0.019,0.15,0.161,0.383,0.308,0.148,0.571,0.008,0.12,0.101,0.59,0.093,0.058,0.261,0.559,0.046,0.155,0.011,0.575,0.201,0.105,0.265,0.0,0.644,0.497,0.061,0.068,0.104,0.119,0.052,0.088,0.233,0.036,0.118,0.1,0.08,0.58,0.341,0.055,0.17,0.597,0.081,0.118,0.471,0.012,0.014,0.452,0.019,0.196,0.122,0.253,0.274,0.575,0.111,0.437,0.065,0.19,0.622,0.008,0.091,0.008,0.663,0.027,0.007
6,0.17,0.009,0.029,0.015,0.585,0.771,1.0,0.057,0.021,0.087,0.151,0.098,0.371,0.484,0.025,0.0,0.24,0.079,0.777,0.095,0.376,0.159,0.02,0.0,0.119,0.008,0.018,0.124,0.076,0.24,0.285,0.131,0.436,0.003,0.142,0.123,0.436,0.138,0.025,0.102,0.4,0.022,0.124,0.003,0.394,0.155,0.084,0.267,0.0,0.576,0.539,0.033,0.07,0.045,0.125,0.032,0.098,0.128,0.024,0.116,0.077,0.101,0.416,0.229,0.052,0.162,0.457,0.06,0.105,0.553,0.002,0.021,0.317,0.007,0.133,0.087,0.111,0.133,0.414,0.122,0.38,0.03,0.104,0.559,0.02,0.049,0.001,0.592,0.019,0.001
7,0.011,0.007,0.64,0.532,0.06,0.052,0.057,1.0,0.284,0.008,0.0,0.17,0.023,0.25,0.003,0.504,0.001,0.038,0.052,0.02,0.019,0.008,0.418,0.048,0.15,0.008,0.273,0.005,0.22,0.118,0.002,0.008,0.035,0.0,0.004,0.021,0.023,0.0,0.425,0.055,0.019,0.304,0.0,0.002,0.02,0.476,0.012,0.053,0.363,0.068,0.02,0.041,0.006,0.478,0.005,0.678,0.01,0.436,0.39,0.008,0.013,0.008,0.03,0.135,0.001,0.013,0.06,0.031,0.7,0.018,0.399,0.002,0.046,0.008,0.456,0.707,0.157,0.329,0.048,0.024,0.004,0.543,0.165,0.003,0.0,0.688,0.0,0.046,0.573,0.046
8,0.081,0.03,0.321,0.407,0.06,0.054,0.021,0.284,1.0,0.005,0.001,0.448,0.055,0.167,0.052,0.169,0.0,0.049,0.047,0.077,0.051,0.067,0.414,0.0,0.45,0.004,0.489,0.049,0.448,0.083,0.007,0.04,0.045,0.006,0.002,0.039,0.038,0.001,0.396,0.189,0.083,1.0,0.018,0.025,0.052,0.42,0.004,0.008,0.336,0.046,0.03,0.177,0.029,0.358,0.001,0.433,0.007,0.497,0.494,0.011,0.021,0.011,0.028,0.077,0.011,0.026,0.067,0.053,0.306,0.038,0.271,0.057,0.078,0.0,0.418,0.342,0.496,0.371,0.08,0.047,0.015,0.315,0.143,0.013,0.005,0.449,0.001,0.059,0.093,0.001
9,0.006,0.275,0.005,0.0,0.063,0.093,0.087,0.008,0.005,1.0,0.018,0.0,0.417,0.025,0.0,0.01,0.0,0.54,0.085,0.319,0.419,0.007,0.001,0.065,0.004,0.552,0.0,0.164,0.03,0.082,0.474,0.175,0.113,0.32,0.704,0.47,0.106,0.616,0.002,0.029,0.062,0.003,0.1,0.169,0.072,0.036,1.0,0.033,0.003,0.015,0.202,0.019,0.433,0.009,0.735,0.001,1.0,0.007,0.012,0.448,0.604,0.532,0.113,0.07,0.378,0.554,0.012,0.0,0.002,0.196,0.001,0.0,0.065,0.542,0.029,0.002,0.0,0.01,0.01,0.492,0.068,0.0,0.015,0.241,0.071,0.012,0.0,0.065,0.0,0.065
