,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.0044,0.009,0.0008,0.008,0.0098,0.0,0.0018,0.0052,0.0034,0.0004,0.701,0.0016,0.01,0.0,0.0152,0.0006,0.0008,0.0148,0.4346,0.0002,0.0304,0.0038,0.0104,0.0358,0.0086,0.0026,0.0012,0.0008,0.1148,0.0206,0.0024,0.0044,0.0078,0.0008,0.0046,0.0028,0.0,0.086,0.0096,0.0022,0.0042,0.0382,0.0008,0.0002,0.023,0.0016,0.0504,0.0014,0.0112,0.4148,0.0108,0.0078,0.9774,0.001,0.0032,0.001,0.101,0.0072,0.0002,0.0024,0.0038,0.0008,0.0064,0.8414,0.0008,0.004,0.0104,0.0018,0.0002,0.0076,0.5456,0.0002,0.003,0.02,0.0036,0.0086,0.0042,0.0074,0.003
1,0.0044,1.0,0.0,0.0018,0.0106,0.0108,0.0008,0.0034,0.0004,0.0156,0.002,0.001,0.0074,0.0018,0.0044,0.0016,0.0038,0.0,0.0202,0.0074,0.0,0.0052,0.1722,0.0,0.0102,0.0002,0.0014,0.0106,0.0028,0.0078,0.0164,0.0006,0.0006,0.0104,0.0004,0.0012,0.0024,0.0048,0.0052,0.0,0.001,0.0154,0.003,0.0026,0.0004,0.006,0.0014,0.002,0.0024,0.0012,0.0084,0.0008,0.0002,0.0044,0.0012,0.0022,0.0026,0.0034,0.0006,0.0054,0.0044,0.005,0.0052,0.0216,0.0098,0.0002,0.005,0.0026,0.0006,0.0002,0.0016,0.0038,0.0036,0.0012,0.0116,0.0078,0.0012,0.0092,0.0004,0.013
2,0.009,0.0,1.0,0.0048,0.0026,0.013,0.0008,0.0006,0.7648,0.0004,0.0064,0.0108,0.0112,0.0102,0.0042,0.0074,0.001,0.0554,0.0056,0.0206,0.0836,0.0288,0.0044,0.9562,0.1152,0.0002,0.045,0.0,0.001,0.0006,0.007,0.4084,0.0086,0.0128,0.0694,0.0074,0.0086,0.0134,0.0036,0.0008,0.0032,0.0002,0.0028,0.0008,0.1926,0.018,0.2872,0.0,0.0162,0.0012,0.0018,0.009,0.018,0.0138,0.0026,0.0074,0.0918,0.0036,0.003,0.0096,0.0138,0.0098,0.009,0.0002,0.0028,0.0544,0.0,0.0046,0.014,0.0074,0.002,0.0136,0.0118,0.7346,0.0314,0.0144,0.009,0.003,0.9128,0.0014
3,0.0008,0.0018,0.0048,1.0,0.0038,0.0014,0.0004,0.0172,0.049,0.0082,0.954,0.0016,0.0022,0.0008,0.0046,0.0122,0.0176,0.6838,0.0192,0.0,0.588,0.0014,0.001,0.016,0.0,0.0004,0.1624,0.0012,0.6854,0.0032,0.029,0.165,0.0062,0.0394,0.6732,0.0004,0.0228,0.0018,0.0008,0.0028,0.001,0.009,0.0014,0.894,0.4056,0.0028,0.3026,0.0124,0.2702,0.015,0.0056,0.0154,0.0,0.0014,0.0,0.0006,0.0588,0.0006,0.0038,0.0018,0.0186,0.0226,0.0036,0.005,0.0,0.7628,0.0014,0.0,0.8162,0.0028,0.0052,0.0,0.0014,0.0384,0.0002,0.0,0.0004,0.0608,0.0152,0.0002
4,0.008,0.0106,0.0026,0.0038,1.0,0.0094,0.0028,0.012,0.0024,0.0172,0.0038,0.009,0.0056,0.0042,0.0028,0.0002,0.0084,0.0054,0.0014,0.0036,0.0106,0.0014,0.0048,0.002,0.0004,0.0,0.0054,0.0074,0.0,0.009,0.0012,0.0044,0.0056,0.0182,0.0062,0.003,0.0124,0.003,0.0064,0.0032,0.0006,0.008,0.001,0.0006,0.0086,0.0006,0.006,0.015,0.0038,0.0068,0.016,0.0002,0.0,0.0084,0.0014,0.0014,0.0,0.0082,0.0008,0.006,0.0154,0.0162,0.002,0.02,0.008,0.0062,0.0002,0.0002,0.0038,0.0098,0.0144,0.0072,0.0034,0.003,0.0,0.007,0.0044,0.0122,0.0012,0.195
5,0.0098,0.0108,0.013,0.0014,0.0094,1.0,0.0008,0.0016,0.0078,0.0024,0.0014,0.0134,0.0008,0.0068,0.0142,0.0032,0.0006,0.0018,0.0004,0.0204,0.0012,0.0836,0.001,0.0134,0.0478,0.0014,0.0026,0.0008,0.0022,0.0004,0.0016,0.0012,0.002,0.0096,0.0018,0.0054,0.0042,0.0172,0.0044,0.0014,0.0002,0.1258,0.0008,0.0006,0.0,0.0532,0.0,0.001,0.0026,0.0028,0.0022,0.0022,0.2,0.009,0.002,0.0002,0.037,0.0064,0.0056,0.0016,0.0068,0.0028,0.0026,0.002,0.0056,0.002,0.0058,0.0232,0.0038,0.0014,0.0022,0.0178,0.0166,0.0074,0.0126,0.0012,0.0084,0.0028,0.01,0.0088
6,0.0,0.0008,0.0008,0.0004,0.0028,0.0008,1.0,0.006,0.0002,0.0058,0.0,0.0004,0.0022,0.0,0.0024,0.0004,0.0042,0.0026,0.0008,0.0014,0.0024,0.0,0.001,0.001,0.0002,0.0504,0.0022,0.0082,0.0158,0.0,0.0,0.0012,0.0018,0.0004,0.002,0.002,0.0004,0.0002,0.0004,0.0744,0.0076,0.0006,0.0014,0.0046,0.0036,0.0,0.0038,0.0028,0.0034,0.0542,0.0022,0.0004,0.0,0.0002,0.005,0.0068,0.0042,0.0004,0.0478,0.0044,0.0004,0.0006,0.0216,0.0068,0.0004,0.0004,0.0028,0.0,0.0,0.0796,0.0006,0.0016,0.0006,0.0022,0.0,0.002,0.0,0.0022,0.0004,0.0018
7,0.0018,0.0034,0.0006,0.0172,0.012,0.0016,0.006,1.0,0.0038,0.0032,0.015,0.0034,0.0128,0.0022,0.0006,0.001,0.8268,0.0142,0.0026,0.002,0.0156,0.0012,0.0014,0.0002,0.0006,0.0018,0.0028,0.0,0.004,0.0036,0.0006,0.0064,0.0024,0.0088,0.0162,0.0002,0.044,0.0004,0.0,0.0028,0.0006,0.003,0.0006,0.0132,0.0122,0.0022,0.0104,0.35,0.0044,0.0022,0.0414,0.0004,0.0,0.0018,0.0016,0.0002,0.005,0.0002,0.0,0.0128,0.0574,0.0436,0.0192,0.0042,0.0066,0.0146,0.003,0.0,0.0132,0.0006,0.005,0.0014,0.0002,0.004,0.0038,0.0142,0.0048,0.1624,0.0022,0.0016
8,0.0052,0.0004,0.7648,0.049,0.0024,0.0078,0.0002,0.0038,1.0,0.0002,0.0542,0.0034,0.009,0.0044,0.0106,0.0112,0.0016,0.2118,0.0108,0.0114,0.2636,0.0022,0.0006,0.9142,0.0602,0.0016,0.1048,0.0002,0.019,0.0024,0.0208,0.8116,0.01,0.0024,0.2438,0.0028,0.0098,0.014,0.0102,0.0008,0.0034,0.0096,0.0038,0.0186,0.4904,0.0008,0.6452,0.0004,0.0668,0.0,0.0026,0.009,0.0026,0.0098,0.0014,0.0058,0.1672,0.0108,0.0046,0.0082,0.0174,0.0078,0.009,0.0004,0.002,0.217,0.0016,0.0002,0.1088,0.0068,0.0012,0.013,0.0136,0.8772,0.03,0.0114,0.0064,0.0026,0.9316,0.0002
9,0.0034,0.0156,0.0004,0.0082,0.0172,0.0024,0.0058,0.0032,0.0002,1.0,0.0094,0.0014,0.0006,0.0012,0.0014,0.001,0.005,0.004,0.0012,0.0004,0.0024,0.0002,0.0108,0.0004,0.0,0.0016,0.0422,0.0002,0.0154,0.0044,0.0004,0.0012,0.0012,0.0026,0.0048,0.0002,0.0006,0.0048,0.0006,0.0032,0.0028,0.0,0.002,0.0142,0.0046,0.0002,0.001,0.0172,0.0482,0.0072,0.0044,0.0016,0.0,0.0018,0.0004,0.0042,0.0018,0.0004,0.0024,0.001,0.0002,0.001,0.0014,0.9764,0.0014,0.0068,0.0032,0.0006,0.0106,0.0074,0.0056,0.0004,0.0036,0.0008,0.001,0.002,0.0014,0.0006,0.0002,0.0028
