,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5439648731555238e-159,0.0,0.0,6.239502563225715e-306,0.0,1.7667566886063037e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557394610794653e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136297181555609e-245,0.0,0.0,0.0,0.0,3.7876790644244654e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1628904636282725e-246,1.504711779355948e-69,8.309945415677897e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4598254562218118e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.892804585098256e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2960448966670402e-135
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0706277921541486e-204,0.0,0.0,0.0,0.0,0.0,4.155729319691304e-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.293895518461254e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.417844681456921e-39,0.0,0.0,1.3093553486928568e-160,0.0,0.0,2.3526e-319,1.7094586636577002e-111,0.0,2.732754284579462e-54,0.0,0.0,0.0,0.0,0.0,5.922359063408586e-76,2.5871297721176028e-253,0.0,0.0,3.7368955941808e-176,0.0,7.93048143107038e-147,2.032383316310035e-164,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,3.73272144e-316,1.0,0.0,0.0,0.0,2.0012346745786947e-288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.319660558390083e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733205031739278e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375895792963e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5368883195990669e-173,0.0,0.0,1.57726342501e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5500053554298835e-159,0.0,0.0,3.5534993780890716e-277,0.0,0.0,0.0,0.0,0.0,1.8948376761922155e-164,0.0,0.0,0.0,0.0,0.0,7.187807953065e-311,5.087174091331964e-244,0.0,0.0,4.37189543780487e-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6802097197328694e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0189164541735012e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9733917579795146e-210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,0.0,0.0,8.33283e-318,0.0,0.0,0.0,1.0,0.0,0.0,1.7309629234823978e-231,0.0,0.0,0.0,0.0,4.641552656895629e-308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247158532985312e-308,0.0,0.0,7.761535996927219e-65,2.730066913738324e-309,0.0,0.0,0.0,0.0,1.7248517927295548e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4689323832057508e-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003477872723716993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7669958016597486e-217,0.0,0.0,1.9536402201304156e-52,0.0,0.0,0.0,2.9259217290845958e-114,0.0,2.4926174337921418e-166,0.0,0.0,0.0,0.0,0.0,2.000428592068392e-135,1.9836451610799773e-13,0.0,0.0,0.0,0.0,2.869229025750571e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.485658034429793e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9652956383097577e-29,0.0,0.0,0.0,0.0,6.705767818291297e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.731866000220551e-100,0.0,0.0,0.0,0.0,1.998550755135196e-05,0.0,0.0,0.0,0.0,4.9950797453615224e-104,0.0,0.0,0.0,0.0,0.0,0.0,4.653195588731905e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0386697230335022e-118,0.0,0.0,0.0,0.0,3.2154911326413235e-212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3015014694224736e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,9.713628793870452e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1257527067104093e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.351100389504953e-50,3.719762789985969e-287,3.847711993181453e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.812765200398445e-257,0.0,0.0,0.0,0.0,0.0,1.059562804612529e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,1.0526855985867683e-269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5218906793736585e-122,0.0,0.0,0.0,8.243640918605249e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.292791523462553e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324471258951446e-266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
