,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.641,0.374,0.761,0.307,0.127,0.209,0.497,0.402,0.056,0.092,0.023,0.701,0.073,0.999,0.803,0.35,0.188,0.187,0.561,0.152,0.648,0.766,0.747,0.069,0.999,0.071,0.63,0.305,0.38
1,0.641,1.0,0.057,0.989,0.044,0.004,0.029,0.104,0.906,0.344,0.523,0.227,0.17,0.006,0.683,0.962,0.851,0.019,0.7,0.096,0.582,0.161,0.979,0.246,0.404,0.625,0.416,1.0,0.837,0.89
2,0.374,0.057,1.0,0.072,0.997,0.854,0.968,0.961,0.016,0.0,0.0,0.0,0.824,0.739,0.334,0.093,0.007,0.941,0.002,0.939,0.002,0.881,0.072,0.759,0.0,0.341,0.0,0.045,0.009,0.005
3,0.761,0.989,0.072,1.0,0.048,0.02,0.036,0.138,0.842,0.271,0.433,0.178,0.262,0.004,0.788,0.997,0.782,0.033,0.604,0.154,0.507,0.218,1.0,0.33,0.317,0.701,0.354,0.979,0.742,0.803
4,0.307,0.044,0.997,0.048,1.0,0.902,0.983,0.924,0.013,0.0,0.0,0.0,0.753,0.792,0.276,0.062,0.003,0.981,0.001,0.905,0.001,0.834,0.083,0.71,0.0,0.328,0.0,0.032,0.004,0.007
5,0.127,0.004,0.854,0.02,0.902,1.0,0.964,0.733,0.003,0.0,0.0,0.0,0.496,0.981,0.126,0.02,0.0,0.979,0.0,0.661,0.001,0.582,0.014,0.42,0.0,0.139,0.0,0.003,0.0,0.0
6,0.209,0.029,0.968,0.036,0.983,0.964,1.0,0.856,0.004,0.0,0.0,0.0,0.682,0.892,0.196,0.044,0.003,1.0,0.0,0.838,0.0,0.752,0.035,0.574,0.0,0.241,0.0,0.018,0.0,0.004
7,0.497,0.104,0.961,0.138,0.924,0.733,0.856,1.0,0.035,0.001,0.002,0.0,0.947,0.578,0.513,0.184,0.022,0.842,0.009,1.0,0.005,0.983,0.148,0.907,0.0,0.519,0.0,0.075,0.021,0.023
8,0.402,0.906,0.016,0.842,0.013,0.003,0.004,0.035,1.0,0.611,0.781,0.456,0.072,0.0,0.394,0.774,0.994,0.003,0.935,0.035,0.866,0.058,0.818,0.09,0.696,0.334,0.707,0.916,0.986,1.0
9,0.056,0.344,0.0,0.271,0.0,0.0,0.0,0.001,0.611,1.0,0.964,0.967,0.002,0.0,0.059,0.22,0.67,0.0,0.82,0.0,0.905,0.002,0.228,0.005,0.995,0.039,0.988,0.395,0.704,0.663
10,0.092,0.523,0.0,0.433,0.0,0.0,0.0,0.002,0.781,0.964,1.0,0.853,0.007,0.0,0.108,0.362,0.837,0.0,0.944,0.004,0.99,0.004,0.398,0.017,0.986,0.089,0.996,0.555,0.867,0.795
11,0.023,0.227,0.0,0.178,0.0,0.0,0.0,0.0,0.456,0.967,0.853,1.0,0.0,0.0,0.027,0.117,0.515,0.0,0.706,0.0,0.783,0.0,0.143,0.001,0.921,0.014,0.911,0.239,0.57,0.468
12,0.701,0.17,0.824,0.262,0.753,0.496,0.682,0.947,0.072,0.002,0.007,0.0,1.0,0.365,0.683,0.3,0.052,0.632,0.024,0.967,0.015,0.994,0.293,0.994,0.003,0.749,0.008,0.165,0.046,0.074
13,0.073,0.006,0.739,0.004,0.792,0.981,0.892,0.578,0.0,0.0,0.0,0.0,0.365,1.0,0.073,0.01,0.0,0.898,0.0,0.555,0.0,0.42,0.008,0.339,0.0,0.09,0.0,0.002,0.0,0.0
