,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.932,0.068,0.042,0.841,0.961,0.99,0.078,0.678,0.581,0.82,0.108,0.001,0.118,0.246,0.55,0.772,0.0,0.031,0.487,0.016,0.001,0.363,0.719,0.991,0.883,0.976,0.001,0.0,0.204,0.03,0.909,0.88,0.673,0.512,0.699,0.98,0.336,0.0,0.0,0.008,0.005,0.029,0.64,0.902,0.763,0.021,0.0,0.195,0.146
1,0.932,1.0,0.019,0.124,0.977,0.999,0.878,0.209,0.449,0.808,0.969,0.031,0.0,0.331,0.496,0.781,0.958,0.007,0.112,0.23,0.064,0.017,0.572,0.507,0.961,0.657,0.857,0.01,0.002,0.418,0.003,0.744,0.992,0.409,0.27,0.908,0.983,0.147,0.0,0.008,0.051,0.0,0.004,0.895,0.997,0.923,0.073,0.003,0.065,0.041
2,0.068,0.019,1.0,0.097,0.0,0.016,0.085,0.045,0.43,0.0,0.002,0.984,0.831,0.031,0.005,0.0,0.002,0.431,0.118,0.641,0.207,0.32,0.002,0.364,0.046,0.231,0.104,0.355,0.607,0.006,0.976,0.171,0.006,0.472,0.651,0.002,0.031,0.782,0.796,0.427,0.228,0.874,0.994,0.0,0.008,0.001,0.123,0.488,0.927,0.972
3,0.042,0.124,0.097,1.0,0.204,0.129,0.017,0.977,0.0,0.49,0.258,0.057,0.375,0.935,0.754,0.492,0.269,0.762,0.998,0.0,0.955,0.852,0.707,0.0,0.073,0.0,0.009,0.807,0.635,0.817,0.18,0.005,0.179,0.0,0.0,0.357,0.077,0.001,0.452,0.765,0.953,0.304,0.126,0.38,0.16,0.327,0.987,0.688,0.014,0.035
4,0.841,0.977,0.0,0.204,1.0,0.964,0.783,0.31,0.362,0.897,0.996,0.011,0.0,0.429,0.648,0.873,0.988,0.008,0.172,0.146,0.133,0.042,0.709,0.383,0.89,0.561,0.745,0.02,0.006,0.531,0.001,0.628,0.998,0.291,0.19,0.972,0.924,0.086,0.0,0.027,0.104,0.0,0.001,0.947,0.994,0.984,0.167,0.008,0.036,0.018
5,0.961,0.999,0.016,0.129,0.964,1.0,0.909,0.189,0.487,0.776,0.952,0.034,0.0,0.277,0.464,0.742,0.93,0.002,0.09,0.26,0.047,0.01,0.573,0.561,0.977,0.708,0.866,0.01,0.001,0.386,0.0,0.787,0.982,0.472,0.321,0.874,0.993,0.169,0.0,0.004,0.046,0.0,0.003,0.851,0.992,0.901,0.073,0.001,0.079,0.056
6,0.99,0.878,0.085,0.017,0.783,0.909,1.0,0.044,0.778,0.487,0.734,0.153,0.002,0.099,0.216,0.465,0.695,0.0,0.013,0.529,0.003,0.0,0.28,0.8,0.96,0.928,0.998,0.001,0.0,0.153,0.035,0.961,0.81,0.732,0.565,0.617,0.94,0.434,0.005,0.0,0.003,0.014,0.073,0.59,0.87,0.662,0.011,0.0,0.235,0.192
7,0.078,0.209,0.045,0.977,0.31,0.189,0.044,1.0,0.001,0.556,0.358,0.024,0.264,0.98,0.891,0.653,0.352,0.631,0.974,0.0,0.901,0.753,0.809,0.001,0.117,0.009,0.05,0.721,0.517,0.928,0.128,0.01,0.279,0.0,0.0,0.451,0.113,0.001,0.312,0.685,0.888,0.187,0.091,0.49,0.25,0.441,0.947,0.606,0.009,0.023
8,0.678,0.449,0.43,0.0,0.362,0.487,0.778,0.001,1.0,0.147,0.309,0.532,0.107,0.005,0.023,0.112,0.277,0.019,0.0,0.916,0.0,0.001,0.028,0.999,0.632,0.946,0.828,0.003,0.034,0.016,0.281,0.915,0.374,0.999,0.947,0.227,0.597,0.855,0.107,0.002,0.0,0.16,0.345,0.206,0.436,0.253,0.0,0.029,0.656,0.574
9,0.581,0.808,0.0,0.49,0.897,0.776,0.487,0.556,0.147,1.0,0.925,0.0,0.007,0.686,0.898,1.0,0.946,0.092,0.419,0.044,0.287,0.17,0.928,0.171,0.656,0.296,0.459,0.125,0.046,0.802,0.0,0.343,0.881,0.102,0.046,0.985,0.721,0.018,0.014,0.102,0.271,0.008,0.0,0.993,0.841,0.975,0.39,0.08,0.002,0.0
