,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.702,0.42,0.788,0.389,0.166,0.271,0.544,0.448,0.082,0.129,0.032,0.739,0.118,0.998,0.844,0.41,0.253,0.25,0.603,0.189,0.669,0.804,0.819,0.106,1.0,0.1,0.671,0.382,0.399
1,0.702,1.0,0.091,0.988,0.066,0.018,0.038,0.142,0.932,0.4,0.581,0.268,0.277,0.01,0.719,0.972,0.893,0.042,0.737,0.162,0.647,0.197,0.987,0.304,0.483,0.673,0.484,0.999,0.853,0.888
2,0.42,0.091,1.0,0.123,0.998,0.874,0.975,0.966,0.026,0.0,0.004,0.0,0.874,0.79,0.369,0.14,0.023,0.957,0.009,0.957,0.003,0.906,0.111,0.828,0.0,0.457,0.0,0.076,0.011,0.013
3,0.788,0.988,0.123,1.0,0.112,0.019,0.075,0.197,0.845,0.343,0.498,0.227,0.341,0.015,0.815,0.997,0.817,0.063,0.691,0.233,0.557,0.298,0.999,0.39,0.368,0.76,0.415,0.98,0.779,0.857
4,0.389,0.066,0.998,0.112,1.0,0.932,0.992,0.956,0.012,0.0,0.001,0.0,0.811,0.823,0.355,0.111,0.013,0.974,0.003,0.927,0.003,0.84,0.089,0.757,0.001,0.395,0.0,0.057,0.009,0.013
5,0.166,0.018,0.874,0.019,0.932,1.0,0.972,0.748,0.003,0.0,0.0,0.0,0.56,0.978,0.155,0.05,0.001,0.985,0.001,0.73,0.0,0.629,0.033,0.492,0.0,0.21,0.0,0.027,0.0,0.003
6,0.271,0.038,0.975,0.075,0.992,0.972,1.0,0.886,0.009,0.0,0.001,0.0,0.716,0.884,0.258,0.085,0.007,0.999,0.002,0.853,0.001,0.774,0.066,0.664,0.0,0.319,0.0,0.031,0.004,0.007
7,0.544,0.142,0.966,0.197,0.956,0.748,0.886,1.0,0.055,0.002,0.002,0.0,0.967,0.632,0.537,0.238,0.042,0.861,0.019,0.999,0.011,0.98,0.224,0.921,0.002,0.606,0.003,0.131,0.035,0.044
8,0.448,0.932,0.026,0.845,0.012,0.003,0.009,0.055,1.0,0.646,0.816,0.489,0.103,0.002,0.485,0.818,0.995,0.011,0.943,0.055,0.865,0.09,0.818,0.132,0.731,0.424,0.765,0.947,0.982,0.999
9,0.082,0.4,0.0,0.343,0.0,0.0,0.0,0.002,0.646,1.0,0.974,0.972,0.008,0.0,0.085,0.287,0.72,0.0,0.849,0.001,0.924,0.004,0.302,0.008,0.997,0.08,0.99,0.452,0.745,0.704
10,0.129,0.581,0.004,0.498,0.001,0.0,0.001,0.002,0.816,0.974,1.0,0.874,0.036,0.0,0.16,0.42,0.857,0.0,0.964,0.005,0.993,0.007,0.439,0.018,0.99,0.133,0.994,0.615,0.872,0.808
11,0.032,0.268,0.0,0.227,0.0,0.0,0.0,0.0,0.489,0.972,0.874,1.0,0.004,0.0,0.046,0.167,0.557,0.0,0.716,0.0,0.808,0.003,0.204,0.002,0.926,0.035,0.933,0.324,0.602,0.547
