,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.001,0.0,0.0,0.014,0.167,0.0,0.0,0.017,0.0,0.002,0.012,0.055,0.0,0.0,0.003,0.0,0.0,0.001,0.001
1,0.001,1.0,0.0,0.005,0.001,0.001,0.003,0.0,0.025,0.014,0.0,0.0,0.003,0.0,0.023,0.0,0.006,0.0,0.0,0.0
2,0.0,0.0,1.0,0.017,0.0,0.0,0.0,0.003,0.0,0.0,0.003,0.001,0.02,0.013,0.0,0.0,0.004,0.06,0.001,0.0
3,0.0,0.005,0.017,1.0,0.0,0.0,0.002,0.046,0.0,0.003,0.001,0.0,0.0,0.17,0.008,0.002,0.0,0.038,0.0,0.017
4,0.014,0.001,0.0,0.0,1.0,0.006,0.002,0.001,0.006,0.0,0.011,0.02,0.018,0.0,0.006,0.0,0.011,0.0,0.015,0.0
5,0.167,0.001,0.0,0.0,0.006,1.0,0.0,0.0,0.059,0.003,0.005,0.069,0.006,0.0,0.0,0.005,0.0,0.0,0.003,0.003
6,0.0,0.003,0.0,0.002,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.004,0.019,0.007
7,0.0,0.0,0.003,0.046,0.001,0.0,0.0,1.0,0.0,0.005,0.009,0.0,0.0,0.015,0.0,0.007,0.0,0.036,0.011,0.0
8,0.017,0.025,0.0,0.0,0.006,0.059,0.0,0.0,1.0,0.0,0.042,0.021,0.174,0.0,0.0,0.0,0.003,0.016,0.004,0.003
9,0.0,0.014,0.0,0.003,0.0,0.003,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.014,0.17,0.0,0.0,0.0,0.0
10,0.002,0.0,0.003,0.001,0.011,0.005,0.0,0.009,0.042,0.0,1.0,0.011,0.013,0.007,0.0,0.0,0.006,0.007,0.0,0.001
11,0.012,0.0,0.001,0.0,0.02,0.069,0.001,0.0,0.021,0.0,0.011,1.0,0.001,0.001,0.0,0.0,0.004,0.004,0.008,0.0
12,0.055,0.003,0.02,0.0,0.018,0.006,0.001,0.0,0.174,0.0,0.013,0.001,1.0,0.0,0.001,0.0,0.06,0.0,0.019,0.004
13,0.0,0.0,0.013,0.17,0.0,0.0,0.002,0.015,0.0,0.0,0.007,0.001,0.0,1.0,0.001,0.001,0.003,0.002,0.0,0.057
14,0.0,0.023,0.0,0.008,0.006,0.0,0.001,0.0,0.0,0.014,0.0,0.0,0.001,0.001,1.0,0.003,0.011,0.0,0.002,0.0
15,0.003,0.0,0.0,0.002,0.0,0.005,0.0,0.007,0.0,0.17,0.0,0.0,0.0,0.001,0.003,1.0,0.011,0.0,0.0,0.011
16,0.0,0.006,0.004,0.0,0.011,0.0,0.0,0.0,0.003,0.0,0.006,0.004,0.06,0.003,0.011,0.011,1.0,0.0,0.0,0.001
17,0.0,0.0,0.06,0.038,0.0,0.0,0.004,0.036,0.016,0.0,0.007,0.004,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0
18,0.001,0.0,0.001,0.0,0.015,0.003,0.019,0.011,0.004,0.0,0.0,0.008,0.019,0.0,0.002,0.0,0.0,0.0,1.0,0.001
19,0.001,0.0,0.0,0.017,0.0,0.003,0.007,0.0,0.003,0.0,0.001,0.0,0.004,0.057,0.0,0.011,0.001,0.0,0.001,1.0
