,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.112,0.208,0.0,0.0,0.478,0.0,0.252,0.368,0.027,0.0,0.001,0.997,0.0,0.006,0.0,0.844,0.043,0.002,0.595,0.361,0.264,0.985,0.736,0.004,0.546,0.0,0.925,0.0,0.015
1,0.112,1.0,0.0,0.001,0.307,0.002,0.029,0.002,0.0,0.0,0.006,0.342,0.151,0.052,0.599,0.012,0.369,0.922,0.495,0.004,0.841,0.931,0.168,0.014,0.0,0.001,0.112,0.039,0.0,0.0
2,0.208,0.0,1.0,0.028,0.0,0.888,0.0,0.995,0.959,0.709,0.001,0.0,0.153,0.0,0.0,0.0,0.064,0.0,0.0,0.798,0.003,0.001,0.144,0.625,0.355,0.844,0.0,0.417,0.056,0.599
3,0.0,0.001,0.028,1.0,0.067,0.005,0.501,0.016,0.008,0.202,0.798,0.045,0.0,0.368,0.015,0.591,0.0,0.002,0.028,0.002,0.0,0.0,0.0,0.0,0.518,0.002,0.213,0.0,0.977,0.313
4,0.0,0.307,0.0,0.067,1.0,0.0,0.568,0.0,0.0,0.0,0.324,0.988,0.002,0.699,0.875,0.469,0.007,0.551,0.956,0.0,0.085,0.142,0.0,0.0,0.0,0.0,0.863,0.0,0.04,0.0
5,0.478,0.002,0.888,0.005,0.0,1.0,0.0,0.931,0.982,0.418,0.0,0.0,0.394,0.0,0.0,0.0,0.162,0.0,0.0,0.976,0.025,0.013,0.365,0.927,0.149,0.995,0.0,0.717,0.012,0.305
6,0.0,0.029,0.0,0.501,0.568,0.0,1.0,0.0,0.0,0.005,0.858,0.531,0.0,0.986,0.311,0.981,0.0,0.094,0.423,0.0,0.005,0.009,0.0,0.0,0.045,0.0,0.876,0.0,0.373,0.014
7,0.252,0.002,0.995,0.016,0.0,0.931,0.0,1.0,0.98,0.652,0.004,0.0,0.199,0.0,0.0,0.001,0.069,0.0,0.0,0.815,0.005,0.002,0.189,0.692,0.281,0.864,0.0,0.49,0.042,0.5
8,0.368,0.0,0.959,0.008,0.0,0.982,0.0,0.98,1.0,0.537,0.0,0.0,0.319,0.0,0.0,0.0,0.115,0.0,0.0,0.925,0.01,0.002,0.256,0.818,0.195,0.958,0.0,0.583,0.027,0.386
9,0.027,0.0,0.709,0.202,0.0,0.418,0.005,0.652,0.537,1.0,0.04,0.0,0.028,0.002,0.0,0.016,0.002,0.0,0.0,0.326,0.0,0.0,0.013,0.213,0.833,0.339,0.0,0.1,0.315,0.978
10,0.0,0.006,0.001,0.798,0.324,0.0,0.858,0.004,0.0,0.04,1.0,0.27,0.0,0.769,0.121,0.968,0.0,0.015,0.17,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.638,0.0,0.662,0.069
