,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.546,0.216,0.656,0.189,0.068,0.125,0.397,0.279,0.019,0.055,0.008,0.641,0.022,0.998,0.746,0.235,0.1,0.107,0.457,0.076,0.598,0.707,0.726,0.024,0.999,0.031,0.49,0.213,0.245
1,0.546,1.0,0.019,0.98,0.011,0.0,0.008,0.038,0.862,0.242,0.397,0.136,0.116,0.0,0.595,0.956,0.822,0.005,0.625,0.06,0.506,0.083,0.972,0.158,0.322,0.508,0.339,0.999,0.787,0.823
2,0.216,0.019,1.0,0.026,0.991,0.825,0.953,0.949,0.003,0.0,0.0,0.0,0.763,0.667,0.237,0.058,0.001,0.917,0.0,0.934,0.0,0.867,0.037,0.717,0.0,0.28,0.0,0.011,0.002,0.002
3,0.656,0.98,0.026,1.0,0.02,0.007,0.011,0.074,0.78,0.168,0.314,0.088,0.177,0.001,0.689,0.992,0.67,0.011,0.509,0.063,0.403,0.128,0.997,0.217,0.237,0.633,0.22,0.974,0.677,0.756
4,0.189,0.011,0.991,0.02,1.0,0.861,0.979,0.902,0.001,0.0,0.0,0.0,0.687,0.752,0.169,0.027,0.002,0.962,0.0,0.876,0.0,0.773,0.024,0.636,0.0,0.224,0.0,0.014,0.0,0.001
5,0.068,0.0,0.825,0.007,0.861,1.0,0.958,0.608,0.0,0.0,0.0,0.0,0.406,0.969,0.061,0.004,0.001,0.967,0.0,0.6,0.0,0.495,0.006,0.355,0.0,0.079,0.0,0.0,0.0,0.001
6,0.125,0.008,0.953,0.011,0.979,0.958,1.0,0.832,0.001,0.0,0.0,0.0,0.586,0.854,0.125,0.016,0.001,0.997,0.0,0.793,0.0,0.677,0.015,0.516,0.0,0.146,0.0,0.004,0.0,0.001
7,0.397,0.038,0.949,0.074,0.902,0.608,0.832,1.0,0.009,0.0,0.0,0.0,0.925,0.487,0.381,0.096,0.003,0.783,0.005,0.997,0.0,0.972,0.072,0.872,0.0,0.455,0.0,0.037,0.004,0.004
8,0.279,0.862,0.003,0.78,0.001,0.0,0.001,0.009,1.0,0.509,0.705,0.336,0.034,0.0,0.322,0.709,0.992,0.002,0.905,0.01,0.852,0.02,0.761,0.043,0.617,0.243,0.638,0.919,0.982,0.997
9,0.019,0.242,0.0,0.168,0.0,0.0,0.0,0.0,0.509,1.0,0.95,0.946,0.0,0.0,0.021,0.103,0.591,0.0,0.788,0.0,0.872,0.0,0.151,0.001,0.993,0.016,0.985,0.264,0.633,0.573
