,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.109,0.196,0.0,0.0,0.475,0.0,0.277,0.373,0.025,0.0,0.0,0.993,0.0,0.003,0.0,0.818,0.041,0.0,0.583,0.34,0.233,0.976,0.728,0.001,0.512,0.0,0.919,0.0,0.014
1,0.109,1.0,0.0,0.0,0.314,0.001,0.03,0.0,0.0,0.0,0.005,0.358,0.134,0.061,0.568,0.017,0.344,0.918,0.478,0.004,0.809,0.926,0.184,0.01,0.0,0.002,0.101,0.036,0.0,0.0
2,0.196,0.0,1.0,0.022,0.0,0.863,0.0,0.993,0.964,0.713,0.003,0.0,0.185,0.0,0.0,0.0,0.054,0.0,0.0,0.779,0.004,0.001,0.15,0.677,0.381,0.824,0.0,0.418,0.058,0.591
3,0.0,0.0,0.022,1.0,0.072,0.002,0.497,0.023,0.014,0.214,0.787,0.049,0.0,0.335,0.011,0.58,0.0,0.0,0.022,0.004,0.0,0.0,0.0,0.002,0.527,0.0,0.206,0.0,0.98,0.303
4,0.0,0.314,0.0,0.072,1.0,0.0,0.564,0.0,0.0,0.0,0.291,0.996,0.002,0.708,0.874,0.491,0.008,0.549,0.961,0.0,0.091,0.155,0.0,0.0,0.001,0.0,0.888,0.0,0.034,0.0
5,0.475,0.001,0.863,0.002,0.0,1.0,0.0,0.919,0.984,0.416,0.0,0.0,0.405,0.0,0.0,0.0,0.183,0.0,0.0,0.98,0.018,0.012,0.359,0.921,0.14,0.995,0.0,0.709,0.016,0.312
6,0.0,0.03,0.0,0.497,0.564,0.0,1.0,0.001,0.0,0.008,0.883,0.529,0.0,0.983,0.301,0.988,0.0,0.093,0.423,0.0,0.001,0.007,0.0,0.0,0.061,0.0,0.881,0.0,0.379,0.012
7,0.277,0.0,0.993,0.023,0.0,0.919,0.001,1.0,0.984,0.679,0.0,0.0,0.216,0.0,0.0,0.0,0.068,0.0,0.0,0.833,0.004,0.002,0.201,0.713,0.299,0.877,0.0,0.468,0.031,0.531
8,0.373,0.0,0.964,0.014,0.0,0.984,0.0,0.984,1.0,0.537,0.0,0.0,0.288,0.0,0.0,0.0,0.118,0.0,0.0,0.928,0.01,0.005,0.249,0.853,0.232,0.956,0.0,0.586,0.027,0.406
9,0.025,0.0,0.713,0.214,0.0,0.416,0.008,0.679,0.537,1.0,0.037,0.0,0.019,0.002,0.0,0.012,0.004,0.0,0.0,0.311,0.0,0.0,0.01,0.217,0.839,0.365,0.0,0.085,0.307,0.989
10,0.0,0.005,0.003,0.787,0.291,0.0,0.883,0.0,0.0,0.037,1.0,0.264,0.0,0.778,0.114,0.949,0.0,0.02,0.162,0.0,0.001,0.002,0.0,0.0,0.174,0.0,0.617,0.0,0.654,0.075
11,0.0,0.358,0.0,0.049,0.996,0.0,0.529,0.0,0.0,0.0,0.264,1.0,0.0,0.667,0.934,0.44,0.008,0.608,0.978,0.0,0.124,0.182,0.002,0.0,0.0,0.0,0.818,0.0,0.03,0.0
12,0.993,0.134,0.185,0.0,0.002,0.405,0.0,0.216,0.288,0.019,0.0,0.0,1.0,0.0,0.008,0.0,0.891,0.054,0.003,0.517,0.423,0.301,0.995,0.651,0.0,0.498,0.0,0.887,0.0,0.012
13,0.0,0.061,0.0,0.335,0.708,0.0,0.983,0.0,0.0,0.002,0.778,0.667,0.0,1.0,0.402,0.926,0.0,0.162,0.551,0.0,0.008,0.018,0.0,0.0,0.023,0.0,0.959,0.0,0.248,0.009
