,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.321,0.996,0.249,0.0,0.002,0.014,0.0,0.996,0.483,0.552,0.109,0.0,0.001,0.0,0.119,0.01,0.843,0.866,0.0,0.225,0.024,0.988,0.15,0.002,0.0,0.96,0.0,0.032,0.749,0.0,0.257,0.776,0.014,0.741,0.555,0.048,0.968,0.965,0.024,0.218,0.69,0.0,0.947,0.189,0.449,0.088,0.894,0.848,0.061
1,0.321,1.0,0.339,0.992,0.023,0.436,0.517,0.003,0.285,0.948,0.928,0.0,0.038,0.0,0.008,0.869,0.397,0.708,0.633,0.088,0.971,0.63,0.398,0.916,0.297,0.001,0.167,0.01,0.0,0.777,0.015,0.003,0.717,0.491,0.037,0.018,0.0,0.195,0.46,0.0,0.001,0.032,0.202,0.512,0.0,0.006,0.822,0.622,0.101,0.8
2,0.996,0.339,1.0,0.258,0.0,0.013,0.028,0.0,0.98,0.543,0.583,0.108,0.0,0.0,0.0,0.123,0.011,0.87,0.898,0.0,0.24,0.044,0.998,0.155,0.0,0.0,0.922,0.0,0.03,0.773,0.0,0.249,0.812,0.014,0.685,0.476,0.039,0.953,0.995,0.019,0.172,0.627,0.002,0.968,0.141,0.407,0.09,0.936,0.815,0.079
3,0.249,0.992,0.258,1.0,0.04,0.539,0.628,0.011,0.191,0.892,0.854,0.0,0.065,0.001,0.02,0.932,0.501,0.599,0.537,0.156,0.997,0.736,0.315,0.97,0.417,0.002,0.128,0.018,0.0,0.682,0.025,0.001,0.626,0.571,0.026,0.009,0.0,0.159,0.361,0.0,0.0,0.024,0.28,0.393,0.001,0.002,0.89,0.504,0.076,0.868
4,0.0,0.023,0.0,0.04,1.0,0.464,0.367,0.924,0.0,0.003,0.001,0.183,0.976,0.8,0.979,0.125,0.503,0.0,0.0,0.91,0.048,0.264,0.0,0.08,0.582,0.854,0.0,0.991,0.341,0.0,0.997,0.061,0.001,0.401,0.002,0.014,0.318,0.0,0.0,0.391,0.097,0.003,0.756,0.0,0.12,0.021,0.106,0.0,0.0,0.188
5,0.002,0.436,0.013,0.539,0.464,1.0,0.992,0.216,0.003,0.275,0.223,0.001,0.602,0.131,0.31,0.773,0.997,0.067,0.061,0.723,0.605,0.947,0.024,0.686,0.975,0.167,0.004,0.336,0.013,0.127,0.409,0.0,0.109,0.997,0.0,0.0,0.01,0.002,0.022,0.023,0.0,0.0,0.894,0.026,0.001,0.0,0.822,0.051,0.0,0.855
6,0.014,0.517,0.028,0.628,0.367,0.992,1.0,0.178,0.015,0.332,0.305,0.002,0.499,0.087,0.241,0.845,0.968,0.133,0.1,0.638,0.689,0.986,0.018,0.78,0.939,0.116,0.004,0.255,0.005,0.189,0.294,0.0,0.136,0.998,0.001,0.0,0.005,0.006,0.028,0.006,0.0,0.0,0.824,0.061,0.0,0.0,0.906,0.083,0.0,0.937
7,0.0,0.003,0.0,0.011,0.924,0.216,0.178,1.0,0.0,0.0,0.0,0.346,0.833,0.939,0.98,0.033,0.295,0.0,0.0,0.714,0.017,0.136,0.0,0.026,0.347,0.987,0.001,0.972,0.606,0.0,0.951,0.166,0.0,0.208,0.012,0.05,0.512,0.0,0.0,0.633,0.235,0.015,0.495,0.0,0.276,0.077,0.059,0.0,0.004,0.072
8,0.996,0.285,0.98,0.191,0.0,0.003,0.015,0.0,1.0,0.445,0.502,0.143,0.0,0.003,0.0,0.085,0.004,0.787,0.816,0.0,0.158,0.022,0.968,0.117,0.0,0.0,0.977,0.0,0.048,0.684,0.0,0.299,0.736,0.008,0.777,0.616,0.067,0.987,0.961,0.044,0.248,0.717,0.0,0.923,0.198,0.494,0.059,0.862,0.888,0.053
9,0.483,0.948,0.543,0.892,0.003,0.275,0.332,0.0,0.445,1.0,0.999,0.0,0.017,0.0,0.0,0.683,0.248,0.856,0.844,0.037,0.876,0.435,0.611,0.783,0.185,0.0,0.329,0.002,0.0,0.936,0.004,0.003,0.889,0.321,0.145,0.048,0.0,0.37,0.625,0.0,0.001,0.117,0.098,0.687,0.001,0.024,0.659,0.812,0.2,0.593
10,0.552,0.928,0.583,0.854,0.001,0.223,0.305,0.0,0.502,0.999,1.0,0.002,0.013,0.0,0.0,0.645,0.2,0.887,0.871,0.022,0.822,0.44,0.607,0.729,0.14,0.0,0.356,0.0,0.0,0.952,0.003,0.014,0.935,0.272,0.164,0.066,0.0,0.402,0.676,0.0,0.005,0.121,0.07,0.718,0.007,0.042,0.566,0.833,0.237,0.546
