,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.012,0.059,0.608,0.131,0.284,0.853,0.088,0.17,0.0,0.998,0.095,0.99,0.72,0.013,0.955,0.756,0.0,0.033,0.432,0.138,0.072,0.965,0.611,0.017,0.351,0.469,0.88,0.456,0.0
1,0.012,1.0,0.241,0.247,0.112,0.04,0.0,0.212,0.084,0.861,0.009,0.158,0.015,0.0,0.412,0.0,0.152,0.871,0.304,0.015,0.719,0.887,0.029,0.002,0.98,0.026,0.009,0.0,0.372,0.96
2,0.059,0.241,1.0,0.0,0.953,0.819,0.245,0.991,0.925,0.58,0.041,0.978,0.028,0.367,0.94,0.128,0.0,0.551,0.999,0.68,0.021,0.051,0.014,0.517,0.157,0.74,0.638,0.186,0.0,0.403
3,0.608,0.247,0.0,1.0,0.002,0.011,0.262,0.0,0.003,0.059,0.669,0.0,0.69,0.15,0.0,0.418,0.973,0.06,0.0,0.043,0.697,0.553,0.795,0.084,0.342,0.02,0.055,0.308,0.973,0.107
4,0.131,0.112,0.953,0.002,1.0,0.949,0.436,0.979,0.998,0.373,0.122,0.995,0.111,0.605,0.812,0.268,0.004,0.324,0.928,0.86,0.005,0.012,0.053,0.696,0.077,0.911,0.827,0.404,0.0,0.243
5,0.284,0.04,0.819,0.011,0.949,1.0,0.633,0.878,0.97,0.198,0.232,0.885,0.229,0.781,0.643,0.443,0.034,0.177,0.795,0.978,0.0,0.002,0.155,0.871,0.026,0.992,0.955,0.574,0.002,0.115
6,0.853,0.0,0.245,0.262,0.436,0.633,1.0,0.295,0.482,0.005,0.825,0.344,0.778,0.975,0.119,0.975,0.391,0.001,0.222,0.804,0.017,0.002,0.713,0.905,0.0,0.699,0.82,0.997,0.157,0.0
7,0.088,0.212,0.991,0.0,0.979,0.878,0.295,1.0,0.968,0.504,0.049,0.995,0.052,0.458,0.912,0.19,0.001,0.455,0.994,0.749,0.008,0.038,0.035,0.558,0.125,0.817,0.689,0.276,0.0,0.374
8,0.17,0.084,0.925,0.003,0.998,0.97,0.482,0.968,1.0,0.346,0.145,0.98,0.103,0.627,0.793,0.325,0.004,0.309,0.917,0.902,0.001,0.012,0.077,0.732,0.043,0.925,0.843,0.419,0.0,0.232
9,0.0,0.861,0.58,0.059,0.373,0.198,0.005,0.504,0.346,1.0,0.0,0.457,0.0,0.021,0.774,0.003,0.022,0.997,0.653,0.115,0.383,0.512,0.0,0.055,0.735,0.167,0.103,0.002,0.106,0.964
10,0.998,0.009,0.041,0.669,0.122,0.232,0.825,0.049,0.145,0.0,1.0,0.072,0.997,0.67,0.007,0.931,0.767,0.0,0.035,0.36,0.19,0.097,0.982,0.565,0.034,0.319,0.423,0.863,0.517,0.001
11,0.095,0.158,0.978,0.0,0.995,0.885,0.344,0.995,0.98,0.457,0.072,1.0,0.077,0.505,0.87,0.214,0.001,0.435,0.956,0.763,0.009,0.024,0.039,0.638,0.098,0.847,0.763,0.28,0.0,0.318
12,0.99,0.015,0.028,0.69,0.111,0.229,0.778,0.052,0.103,0.0,0.997,0.077,1.0,0.632,0.005,0.908,0.808,0.0,0.019,0.348,0.204,0.111,0.995,0.489,0.025,0.273,0.383,0.802,0.539,0.001
13,0.72,0.0,0.367,0.15,0.605,0.781,0.975,0.458,0.627,0.021,0.67,0.505,0.632,1.0,0.21,0.881,0.253,0.018,0.306,0.897,0.001,0.0,0.54,0.981,0.0,0.872,0.931,0.954,0.064,0.006
14,0.013,0.412,0.94,0.0,0.812,0.643,0.119,0.912,0.793,0.774,0.007,0.87,0.005,0.21,1.0,0.045,0.0,0.735,0.968,0.46,0.079,0.167,0.001,0.285,0.328,0.498,0.421,0.098,0.005,0.629
15,0.955,0.0,0.128,0.418,0.268,0.443,0.975,0.19,0.325,0.003,0.931,0.214,0.908,0.881,0.045,1.0,0.544,0.001,0.117,0.622,0.056,0.016,0.857,0.797,0.002,0.513,0.673,0.982,0.27,0.0
16,0.756,0.152,0.0,0.973,0.004,0.034,0.391,0.001,0.004,0.022,0.767,0.001,0.808,0.253,0.0,0.544,1.0,0.027,0.0,0.079,0.571,0.432,0.874,0.174,0.265,0.049,0.106,0.417,0.903,0.075
17,0.0,0.871,0.551,0.06,0.324,0.177,0.001,0.455,0.309,0.997,0.0,0.435,0.0,0.018,0.735,0.001,0.027,1.0,0.553,0.088,0.43,0.556,0.0,0.038,0.781,0.13,0.089,0.002,0.123,0.977
18,0.033,0.304,0.999,0.0,0.928,0.795,0.222,0.994,0.917,0.653,0.035,0.956,0.019,0.306,0.968,0.117,0.0,0.553,1.0,0.638,0.028,0.087,0.014,0.478,0.176,0.704,0.587,0.195,0.0,0.476
19,0.432,0.015,0.68,0.043,0.86,0.978,0.804,0.749,0.902,0.115,0.36,0.763,0.348,0.897,0.46,0.622,0.079,0.088,0.638,1.0,0.0,0.0,0.277,0.974,0.002,0.993,0.997,0.759,0.011,0.061
20,0.138,0.719,0.021,0.697,0.005,0.0,0.017,0.008,0.001,0.383,0.19,0.009,0.204,0.001,0.079,0.056,0.571,0.43,0.028,0.0,1.0,0.975,0.283,0.0,0.862,0.0,0.0,0.03,0.859,0.557
21,0.072,0.887,0.051,0.553,0.012,0.002,0.002,0.038,0.012,0.512,0.097,0.024,0.111,0.0,0.167,0.016,0.432,0.556,0.087,0.0,0.975,1.0,0.171,0.0,0.945,0.0,0.0,0.009,0.71,0.7
22,0.965,0.029,0.014,0.795,0.053,0.155,0.713,0.035,0.077,0.0,0.982,0.039,0.995,0.54,0.001,0.857,0.874,0.0,0.014,0.277,0.283,0.171,1.0,0.436,0.062,0.208,0.313,0.742,0.664,0.01
23,0.611,0.002,0.517,0.084,0.696,0.871,0.905,0.558,0.732,0.055,0.565,0.638,0.489,0.981,0.285,0.797,0.174,0.038,0.478,0.974,0.0,0.0,0.436,1.0,0.0,0.931,0.985,0.883,0.05,0.013
24,0.017,0.98,0.157,0.342,0.077,0.026,0.0,0.125,0.043,0.735,0.034,0.098,0.025,0.0,0.328,0.002,0.265,0.781,0.176,0.002,0.862,0.945,0.062,0.0,1.0,0.005,0.003,0.0,0.494,0.891
25,0.351,0.026,0.74,0.02,0.911,0.992,0.699,0.817,0.925,0.167,0.319,0.847,0.273,0.872,0.498,0.513,0.049,0.13,0.704,0.993,0.0,0.0,0.208,0.931,0.005,1.0,0.985,0.635,0.006,0.078
26,0.469,0.009,0.638,0.055,0.827,0.955,0.82,0.689,0.843,0.103,0.423,0.763,0.383,0.931,0.421,0.673,0.106,0.089,0.587,0.997,0.0,0.0,0.313,0.985,0.003,0.985,1.0,0.77,0.018,0.026
27,0.88,0.0,0.186,0.308,0.404,0.574,0.997,0.276,0.419,0.002,0.863,0.28,0.802,0.954,0.098,0.982,0.417,0.002,0.195,0.759,0.03,0.009,0.742,0.883,0.0,0.635,0.77,1.0,0.17,0.0
28,0.456,0.372,0.0,0.973,0.0,0.002,0.157,0.0,0.0,0.106,0.517,0.0,0.539,0.064,0.005,0.27,0.903,0.123,0.0,0.011,0.859,0.71,0.664,0.05,0.494,0.006,0.018,0.17,1.0,0.218
29,0.0,0.96,0.403,0.107,0.243,0.115,0.0,0.374,0.232,0.964,0.001,0.318,0.001,0.006,0.629,0.0,0.075,0.977,0.476,0.061,0.557,0.7,0.01,0.013,0.891,0.078,0.026,0.0,0.218,1.0
