,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.047,0.02,0.101,0.02,0.372,0.082,0.32,0.255,0.177,0.042,0.3,0.192,0.73,0.24,0.431,0.068,0.007,0.271,0.423,0.012,0.058,0.078,0.031,0.334,0.024,0.306,0.378,0.005,0.04
1,0.047,1.0,0.012,0.001,0.029,0.008,0.0,0.211,0.012,0.01,0.014,0.005,0.038,0.012,0.159,0.006,0.004,0.024,0.002,0.006,0.048,0.735,0.007,0.018,0.005,0.011,0.005,0.006,0.07,0.793
2,0.02,0.012,1.0,0.263,0.793,0.049,0.079,0.112,0.183,0.273,0.792,0.104,0.009,0.006,0.036,0.082,0.467,0.627,0.201,0.09,0.848,0.036,0.446,0.014,0.103,0.534,0.104,0.09,0.144,0.023
3,0.101,0.001,0.263,1.0,0.265,0.366,0.681,0.061,0.818,0.775,0.385,0.58,0.024,0.064,0.023,0.546,0.922,0.115,0.656,0.418,0.133,0.023,0.871,0.003,0.518,0.323,0.553,0.451,0.065,0.016
4,0.02,0.029,0.793,0.265,1.0,0.031,0.105,0.091,0.165,0.167,0.762,0.084,0.011,0.015,0.04,0.087,0.444,0.799,0.137,0.067,0.862,0.074,0.333,0.124,0.064,0.881,0.094,0.062,0.329,0.025
5,0.372,0.008,0.049,0.366,0.031,1.0,0.164,0.088,0.735,0.589,0.058,0.889,0.085,0.266,0.043,0.877,0.259,0.019,0.444,0.764,0.034,0.016,0.27,0.0,0.828,0.024,0.887,0.759,0.008,0.003
6,0.082,0.0,0.079,0.681,0.105,0.164,1.0,0.068,0.456,0.356,0.259,0.222,0.035,0.128,0.031,0.263,0.617,0.012,0.396,0.141,0.023,0.004,0.618,0.006,0.189,0.184,0.184,0.146,0.01,0.0
7,0.32,0.211,0.112,0.061,0.091,0.088,0.068,1.0,0.142,0.049,0.117,0.098,0.032,0.24,0.6,0.161,0.066,0.05,0.174,0.138,0.076,0.191,0.035,0.092,0.137,0.067,0.109,0.125,0.051,0.162
8,0.255,0.012,0.183,0.818,0.165,0.735,0.456,0.142,1.0,0.828,0.281,0.817,0.07,0.212,0.075,0.804,0.635,0.067,0.745,0.567,0.091,0.04,0.688,0.006,0.77,0.182,0.793,0.637,0.028,0.015
9,0.177,0.01,0.273,0.775,0.167,0.589,0.356,0.049,0.828,1.0,0.245,0.726,0.104,0.135,0.023,0.677,0.703,0.122,0.742,0.584,0.13,0.049,0.81,0.002,0.675,0.148,0.71,0.635,0.028,0.031
10,0.042,0.014,0.792,0.385,0.762,0.058,0.259,0.117,0.281,0.245,1.0,0.137,0.018,0.054,0.063,0.123,0.649,0.445,0.307,0.124,0.591,0.027,0.448,0.02,0.144,0.648,0.191,0.095,0.096,0.01
11,0.3,0.005,0.104,0.58,0.084,0.889,0.222,0.098,0.817,0.726,0.137,1.0,0.075,0.148,0.069,0.885,0.463,0.024,0.682,0.833,0.049,0.024,0.446,0.005,0.958,0.08,0.985,0.864,0.02,0.006
12,0.192,0.038,0.009,0.024,0.011,0.085,0.035,0.032,0.07,0.104,0.018,0.075,1.0,0.3,0.045,0.133,0.035,0.0,0.058,0.079,0.006,0.052,0.061,0.0,0.061,0.008,0.071,0.089,0.003,0.059
13,0.73,0.012,0.006,0.064,0.015,0.266,0.128,0.24,0.212,0.135,0.054,0.148,0.3,1.0,0.145,0.278,0.07,0.001,0.15,0.161,0.006,0.018,0.105,0.008,0.143,0.022,0.13,0.187,0.008,0.013
14,0.24,0.159,0.036,0.023,0.04,0.043,0.031,0.6,0.075,0.023,0.063,0.069,0.045,0.145,1.0,0.053,0.032,0.025,0.135,0.116,0.036,0.164,0.019,0.037,0.086,0.027,0.072,0.128,0.016,0.121
15,0.431,0.006,0.082,0.546,0.087,0.877,0.263,0.161,0.804,0.677,0.123,0.885,0.133,0.278,0.053,1.0,0.351,0.021,0.572,0.735,0.037,0.036,0.421,0.007,0.8,0.072,0.82,0.715,0.017,0.025
16,0.068,0.004,0.467,0.922,0.444,0.259,0.617,0.066,0.635,0.703,0.649,0.463,0.035,0.07,0.032,0.351,1.0,0.225,0.656,0.321,0.286,0.027,0.95,0.008,0.358,0.455,0.462,0.326,0.097,0.016
17,0.007,0.024,0.627,0.115,0.799,0.019,0.012,0.05,0.067,0.122,0.445,0.024,0.0,0.001,0.025,0.021,0.225,1.0,0.048,0.033,0.898,0.03,0.195,0.162,0.021,0.646,0.045,0.017,0.429,0.021
18,0.271,0.002,0.201,0.656,0.137,0.444,0.396,0.174,0.745,0.742,0.307,0.682,0.058,0.15,0.135,0.572,0.656,0.048,1.0,0.688,0.072,0.015,0.623,0.016,0.74,0.152,0.713,0.772,0.017,0.005
19,0.423,0.006,0.09,0.418,0.067,0.764,0.141,0.138,0.567,0.584,0.124,0.833,0.079,0.161,0.116,0.735,0.321,0.033,0.688,1.0,0.046,0.027,0.326,0.009,0.862,0.063,0.858,0.937,0.015,0.007
20,0.012,0.048,0.848,0.133,0.862,0.034,0.023,0.076,0.091,0.13,0.591,0.049,0.006,0.006,0.036,0.037,0.286,0.898,0.072,0.046,1.0,0.088,0.24,0.117,0.057,0.633,0.068,0.048,0.292,0.049
21,0.058,0.735,0.036,0.023,0.074,0.016,0.004,0.191,0.04,0.049,0.027,0.024,0.052,0.018,0.164,0.036,0.027,0.03,0.015,0.027,0.088,1.0,0.031,0.015,0.017,0.033,0.02,0.013,0.084,0.962
22,0.078,0.007,0.446,0.871,0.333,0.27,0.618,0.035,0.688,0.81,0.448,0.446,0.061,0.105,0.019,0.421,0.95,0.195,0.623,0.326,0.24,0.031,1.0,0.003,0.412,0.327,0.429,0.355,0.063,0.011
23,0.031,0.018,0.014,0.003,0.124,0.0,0.006,0.092,0.006,0.002,0.02,0.005,0.0,0.008,0.037,0.007,0.008,0.162,0.016,0.009,0.117,0.015,0.003,1.0,0.016,0.164,0.007,0.017,0.334,0.007
24,0.334,0.005,0.103,0.518,0.064,0.828,0.189,0.137,0.77,0.675,0.144,0.958,0.061,0.143,0.086,0.8,0.358,0.021,0.74,0.862,0.057,0.017,0.412,0.016,1.0,0.056,0.944,0.938,0.012,0.011
25,0.024,0.011,0.534,0.323,0.881,0.024,0.184,0.067,0.182,0.148,0.648,0.08,0.008,0.022,0.027,0.072,0.455,0.646,0.152,0.063,0.633,0.033,0.327,0.164,0.056,1.0,0.088,0.046,0.302,0.008
26,0.306,0.005,0.104,0.553,0.094,0.887,0.184,0.109,0.793,0.71,0.191,0.985,0.071,0.13,0.072,0.82,0.462,0.045,0.713,0.858,0.068,0.02,0.429,0.007,0.944,0.088,1.0,0.879,0.037,0.009
27,0.378,0.006,0.09,0.451,0.062,0.759,0.146,0.125,0.637,0.635,0.095,0.864,0.089,0.187,0.128,0.715,0.326,0.017,0.772,0.937,0.048,0.013,0.355,0.017,0.938,0.046,0.879,1.0,0.011,0.005
28,0.005,0.07,0.144,0.065,0.329,0.008,0.01,0.051,0.028,0.028,0.096,0.02,0.003,0.008,0.016,0.017,0.097,0.429,0.017,0.015,0.292,0.084,0.063,0.334,0.012,0.302,0.037,0.011,1.0,0.067
