,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.006,0.046,0.006,0.02,0.008,0.008,0.01,0.008,0.009,0.005,0.005,0.019,0.0,0.097,0.196,0.19,0.002,0.004,0.061,0.06,0.042,0.008,0.019,0.026,0.144,0.575,0.007,0.069,0.003
1,0.006,1.0,0.079,0.5,0.003,0.167,0.013,0.231,0.185,0.051,0.666,0.638,0.002,0.188,0.007,0.007,0.054,0.667,0.375,0.066,0.008,0.0,0.595,0.0,0.0,0.0,0.012,0.118,0.004,0.796
2,0.046,0.079,1.0,0.095,0.182,0.282,0.496,0.005,0.027,0.602,0.147,0.008,0.344,0.0,0.036,0.081,0.128,0.016,0.154,0.563,0.622,0.497,0.067,0.036,0.37,0.084,0.043,0.473,0.029,0.053
3,0.006,0.5,0.095,1.0,0.002,0.565,0.036,0.168,0.161,0.232,0.69,0.535,0.009,0.063,0.004,0.003,0.026,0.365,0.416,0.139,0.016,0.011,0.947,0.002,0.009,0.004,0.003,0.394,0.005,0.802
4,0.02,0.003,0.182,0.002,1.0,0.023,0.214,0.0,0.009,0.125,0.003,0.0,0.76,0.0,0.038,0.124,0.079,0.0,0.001,0.149,0.633,0.402,0.004,0.74,0.728,0.125,0.018,0.053,0.038,0.0
5,0.008,0.167,0.282,0.565,0.023,1.0,0.259,0.048,0.077,0.669,0.432,0.098,0.06,0.013,0.011,0.01,0.02,0.071,0.553,0.542,0.08,0.062,0.424,0.007,0.056,0.009,0.004,0.872,0.001,0.324
6,0.008,0.013,0.496,0.036,0.214,0.259,1.0,0.003,0.004,0.602,0.045,0.006,0.506,0.0,0.006,0.021,0.027,0.002,0.108,0.651,0.456,0.457,0.019,0.049,0.355,0.037,0.011,0.445,0.012,0.012
7,0.01,0.231,0.005,0.168,0.0,0.048,0.003,1.0,0.801,0.012,0.14,0.225,0.0,0.113,0.02,0.006,0.052,0.313,0.039,0.007,0.003,0.001,0.181,0.0,0.001,0.003,0.003,0.026,0.019,0.208
8,0.008,0.185,0.027,0.161,0.009,0.077,0.004,0.801,1.0,0.017,0.13,0.19,0.004,0.11,0.027,0.009,0.064,0.257,0.034,0.014,0.01,0.005,0.203,0.001,0.0,0.003,0.008,0.039,0.03,0.203
9,0.009,0.051,0.602,0.232,0.125,0.669,0.602,0.012,0.017,1.0,0.173,0.026,0.235,0.0,0.02,0.021,0.021,0.02,0.239,0.717,0.33,0.3,0.171,0.017,0.248,0.019,0.01,0.862,0.0,0.089
10,0.005,0.666,0.147,0.69,0.003,0.432,0.045,0.14,0.13,0.173,1.0,0.369,0.007,0.054,0.008,0.004,0.047,0.389,0.75,0.141,0.015,0.005,0.684,0.0,0.002,0.004,0.004,0.36,0.004,0.733
11,0.005,0.638,0.008,0.535,0.0,0.098,0.006,0.225,0.19,0.026,0.369,1.0,0.002,0.353,0.0,0.002,0.013,0.858,0.164,0.023,0.002,0.001,0.673,0.001,0.001,0.001,0.005,0.065,0.002,0.782
12,0.019,0.002,0.344,0.009,0.76,0.06,0.506,0.0,0.004,0.235,0.007,0.002,1.0,0.0,0.035,0.083,0.041,0.0,0.012,0.289,0.713,0.615,0.004,0.362,0.854,0.094,0.01,0.126,0.04,0.0
13,0.0,0.188,0.0,0.063,0.0,0.013,0.0,0.113,0.11,0.0,0.054,0.353,0.0,1.0,0.0,0.0,0.006,0.516,0.016,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.003,0.002,0.003,0.141
