,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.008,0.036,0.007,0.03,0.011,0.011,0.008,0.01,0.011,0.006,0.002,0.026,0.0,0.086,0.192,0.176,0.002,0.005,0.057,0.065,0.049,0.006,0.018,0.017,0.122,0.554,0.006,0.066,0.002
1,0.008,1.0,0.093,0.473,0.0,0.196,0.016,0.195,0.202,0.079,0.675,0.601,0.002,0.207,0.004,0.005,0.063,0.68,0.404,0.052,0.01,0.001,0.589,0.001,0.002,0.006,0.005,0.148,0.006,0.771
2,0.036,0.093,1.0,0.093,0.189,0.277,0.532,0.013,0.026,0.585,0.112,0.009,0.337,0.001,0.047,0.092,0.138,0.017,0.14,0.575,0.618,0.531,0.074,0.03,0.384,0.078,0.035,0.434,0.026,0.032
3,0.007,0.473,0.093,1.0,0.005,0.544,0.044,0.168,0.164,0.231,0.647,0.471,0.006,0.068,0.003,0.003,0.026,0.366,0.431,0.135,0.022,0.008,0.951,0.002,0.012,0.003,0.009,0.422,0.007,0.805
4,0.03,0.0,0.189,0.005,1.0,0.028,0.217,0.0,0.004,0.095,0.001,0.0,0.775,0.001,0.062,0.143,0.083,0.0,0.002,0.148,0.608,0.379,0.0,0.747,0.728,0.138,0.02,0.056,0.037,0.0
5,0.011,0.196,0.277,0.544,0.028,1.0,0.28,0.055,0.076,0.64,0.396,0.095,0.052,0.009,0.012,0.008,0.021,0.06,0.533,0.537,0.104,0.078,0.446,0.005,0.054,0.009,0.008,0.863,0.006,0.295
6,0.011,0.016,0.532,0.044,0.217,0.28,1.0,0.004,0.002,0.577,0.051,0.003,0.514,0.0,0.006,0.024,0.019,0.002,0.106,0.629,0.427,0.439,0.029,0.047,0.394,0.038,0.013,0.464,0.009,0.011
7,0.008,0.195,0.013,0.168,0.0,0.055,0.004,1.0,0.81,0.009,0.128,0.236,0.0,0.096,0.013,0.005,0.047,0.296,0.051,0.007,0.001,0.002,0.199,0.0,0.0,0.002,0.013,0.023,0.013,0.19
8,0.01,0.202,0.026,0.164,0.004,0.076,0.002,0.81,1.0,0.014,0.111,0.197,0.002,0.101,0.022,0.009,0.051,0.264,0.041,0.013,0.013,0.005,0.195,0.001,0.01,0.002,0.019,0.031,0.03,0.198
9,0.011,0.079,0.585,0.231,0.095,0.64,0.577,0.009,0.014,1.0,0.156,0.014,0.221,0.0,0.022,0.015,0.032,0.02,0.233,0.711,0.337,0.321,0.177,0.021,0.223,0.017,0.003,0.837,0.009,0.096
