,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.006,0.011,0.003,0.015,0.009,0.0,0.0,0.0,0.0,0.006,0.003,0.0,0.0,0.068,0.131,0.143,0.007,0.002,0.023,0.018,0.018,0.005,0.005,0.004,0.12,0.549,0.006,0.042,0.008
1,0.006,1.0,0.024,0.488,0.001,0.325,0.003,0.046,0.041,0.055,0.69,0.68,0.04,0.179,0.009,0.001,0.004,0.692,0.396,0.068,0.0,0.0,0.583,0.0,0.012,0.008,0.007,0.171,0.018,0.76
2,0.011,0.024,1.0,0.013,0.214,0.065,0.024,0.0,0.001,0.017,0.037,0.0,0.183,0.004,0.004,0.064,0.042,0.005,0.022,0.445,0.581,0.289,0.008,0.076,0.231,0.063,0.016,0.067,0.021,0.005
3,0.003,0.488,0.013,1.0,0.005,0.698,0.045,0.009,0.004,0.296,0.408,0.634,0.0,0.032,0.005,0.001,0.001,0.367,0.173,0.1,0.008,0.002,0.967,0.021,0.0,0.005,0.015,0.512,0.06,0.778
4,0.015,0.001,0.214,0.005,1.0,0.004,0.014,0.0,0.003,0.007,0.001,0.0,0.627,0.0,0.003,0.005,0.0,0.003,0.007,0.149,0.678,0.376,0.003,0.814,0.637,0.006,0.012,0.036,0.027,0.0
5,0.009,0.325,0.065,0.698,0.004,1.0,0.157,0.008,0.021,0.506,0.332,0.407,0.004,0.1,0.014,0.0,0.001,0.263,0.207,0.257,0.016,0.013,0.654,0.007,0.004,0.006,0.013,0.812,0.023,0.469
6,0.0,0.003,0.024,0.045,0.014,0.157,1.0,0.0,0.001,0.588,0.0,0.035,0.255,0.004,0.0,0.019,0.013,0.02,0.0,0.08,0.024,0.047,0.007,0.02,0.117,0.007,0.0,0.418,0.008,0.003
7,0.0,0.046,0.0,0.009,0.0,0.008,0.0,1.0,0.54,0.002,0.009,0.04,0.0,0.137,0.011,0.0,0.006,0.132,0.008,0.001,0.0,0.0,0.023,0.001,0.0,0.001,0.004,0.004,0.0,0.022
8,0.0,0.041,0.001,0.004,0.003,0.021,0.001,0.54,1.0,0.011,0.016,0.01,0.001,0.149,0.003,0.0,0.001,0.075,0.003,0.0,0.001,0.003,0.008,0.001,0.001,0.0,0.002,0.011,0.0,0.008
9,0.0,0.055,0.017,0.296,0.007,0.506,0.588,0.002,0.011,1.0,0.027,0.036,0.071,0.006,0.0,0.008,0.007,0.015,0.025,0.112,0.003,0.01,0.194,0.003,0.027,0.001,0.0,0.637,0.003,0.079
10,0.006,0.69,0.037,0.408,0.001,0.332,0.0,0.009,0.016,0.027,1.0,0.363,0.021,0.108,0.006,0.002,0.003,0.46,0.71,0.138,0.0,0.0,0.431,0.0,0.009,0.008,0.018,0.184,0.015,0.617
11,0.003,0.68,0.0,0.634,0.0,0.407,0.035,0.04,0.01,0.036,0.363,1.0,0.049,0.213,0.011,0.003,0.003,0.671,0.201,0.042,0.0,0.0,0.765,0.001,0.015,0.006,0.007,0.15,0.033,0.887
12,0.0,0.04,0.183,0.0,0.627,0.004,0.255,0.0,0.001,0.071,0.021,0.049,1.0,0.034,0.0,0.0,0.003,0.07,0.036,0.176,0.502,0.47,0.004,0.498,0.797,0.001,0.001,0.059,0.008,0.034
13,0.0,0.179,0.004,0.032,0.0,0.1,0.004,0.137,0.149,0.006,0.108,0.213,0.034,1.0,0.003,0.0,0.006,0.487,0.049,0.011,0.0,0.0,0.066,0.008,0.031,0.0,0.003,0.023,0.001,0.129
14,0.068,0.009,0.004,0.005,0.003,0.014,0.0,0.011,0.003,0.0,0.006,0.011,0.0,0.003,1.0,0.331,0.19,0.006,0.008,0.005,0.005,0.003,0.005,0.001,0.0,0.456,0.143,0.003,0.18,0.008
15,0.131,0.001,0.064,0.001,0.005,0.0,0.019,0.0,0.0,0.008,0.002,0.003,0.0,0.0,0.331,1.0,0.595,0.002,0.008,0.011,0.043,0.039,0.001,0.0,0.003,0.795,0.264,0.007,0.209,0.002
16,0.143,0.004,0.042,0.001,0.0,0.001,0.013,0.006,0.001,0.007,0.003,0.003,0.003,0.006,0.19,0.595,1.0,0.002,0.007,0.006,0.009,0.011,0.0,0.002,0.0,0.323,0.222,0.0,0.16,0.001
17,0.007,0.692,0.005,0.367,0.003,0.263,0.02,0.132,0.075,0.015,0.46,0.671,0.07,0.487,0.006,0.002,0.002,1.0,0.209,0.023,0.0,0.002,0.433,0.002,0.036,0.009,0.0,0.09,0.002,0.673
18,0.002,0.396,0.022,0.173,0.007,0.207,0.0,0.008,0.003,0.025,0.71,0.201,0.036,0.049,0.008,0.008,0.007,0.209,1.0,0.126,0.0,0.0,0.207,0.004,0.012,0.022,0.011,0.169,0.02,0.376
19,0.023,0.068,0.445,0.1,0.149,0.257,0.08,0.001,0.0,0.112,0.138,0.042,0.176,0.011,0.005,0.011,0.006,0.023,0.126,1.0,0.265,0.191,0.094,0.065,0.115,0.013,0.047,0.413,0.048,0.066
20,0.018,0.0,0.581,0.008,0.678,0.016,0.024,0.0,0.001,0.003,0.0,0.0,0.502,0.0,0.005,0.043,0.009,0.0,0.0,0.265,1.0,0.588,0.001,0.394,0.578,0.056,0.029,0.037,0.035,0.0
21,0.018,0.0,0.289,0.002,0.376,0.013,0.047,0.0,0.003,0.01,0.0,0.0,0.47,0.0,0.003,0.039,0.011,0.002,0.0,0.191,0.588,1.0,0.003,0.223,0.67,0.043,0.027,0.044,0.042,0.0
22,0.005,0.583,0.008,0.967,0.003,0.654,0.007,0.023,0.008,0.194,0.431,0.765,0.004,0.066,0.005,0.001,0.0,0.433,0.207,0.094,0.001,0.003,1.0,0.016,0.001,0.001,0.017,0.38,0.048,0.882
23,0.005,0.0,0.076,0.021,0.814,0.007,0.02,0.001,0.001,0.003,0.0,0.001,0.498,0.008,0.001,0.0,0.002,0.002,0.004,0.065,0.394,0.223,0.016,1.0,0.45,0.001,0.013,0.025,0.048,0.001
24,0.004,0.012,0.231,0.0,0.637,0.004,0.117,0.0,0.001,0.027,0.009,0.015,0.797,0.031,0.0,0.003,0.0,0.036,0.012,0.115,0.578,0.67,0.001,0.45,1.0,0.007,0.007,0.03,0.016,0.021
25,0.12,0.008,0.063,0.005,0.006,0.006,0.007,0.001,0.0,0.001,0.008,0.006,0.001,0.0,0.456,0.795,0.323,0.009,0.022,0.013,0.056,0.043,0.001,0.001,0.007,1.0,0.212,0.0,0.13,0.005
26,0.549,0.007,0.016,0.015,0.012,0.013,0.0,0.004,0.002,0.0,0.018,0.007,0.001,0.003,0.143,0.264,0.222,0.0,0.011,0.047,0.029,0.027,0.017,0.013,0.007,0.212,1.0,0.017,0.244,0.023
27,0.006,0.171,0.067,0.512,0.036,0.812,0.418,0.004,0.011,0.637,0.184,0.15,0.059,0.023,0.003,0.007,0.0,0.09,0.169,0.413,0.037,0.044,0.38,0.025,0.03,0.0,0.017,1.0,0.005,0.212
28,0.042,0.018,0.021,0.06,0.027,0.023,0.008,0.0,0.0,0.003,0.015,0.033,0.008,0.001,0.18,0.209,0.16,0.002,0.02,0.048,0.035,0.042,0.048,0.048,0.016,0.13,0.244,0.005,1.0,0.042
29,0.008,0.76,0.005,0.778,0.0,0.469,0.003,0.022,0.008,0.079,0.617,0.887,0.034,0.129,0.008,0.002,0.001,0.673,0.376,0.066,0.0,0.0,0.882,0.001,0.021,0.005,0.023,0.212,0.042,1.0
