,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.007,0.013,0.0,0.022,0.0,0.002,0.001,0.001,0.002,0.001,0.01,0.005,0.0,0.096,0.196,0.185,0.002,0.0,0.011,0.025,0.011,0.001,0.018,0.002,0.142,0.544,0.001,0.055,0.004
1,0.007,1.0,0.071,0.264,0.022,0.023,0.0,0.041,0.051,0.002,0.651,0.632,0.005,0.078,0.001,0.002,0.006,0.602,0.352,0.035,0.036,0.001,0.392,0.006,0.001,0.007,0.005,0.011,0.003,0.689
2,0.013,0.071,1.0,0.03,0.085,0.101,0.013,0.004,0.002,0.015,0.073,0.036,0.076,0.0,0.011,0.061,0.043,0.023,0.087,0.281,0.537,0.234,0.052,0.002,0.133,0.029,0.038,0.112,0.028,0.069
3,0.0,0.264,0.03,1.0,0.101,0.405,0.02,0.013,0.029,0.056,0.277,0.282,0.101,0.0,0.012,0.0,0.002,0.087,0.189,0.15,0.081,0.028,0.946,0.063,0.075,0.002,0.0,0.359,0.0,0.573
4,0.022,0.022,0.085,0.101,1.0,0.049,0.13,0.012,0.013,0.061,0.03,0.022,0.72,0.0,0.037,0.026,0.02,0.008,0.028,0.141,0.453,0.22,0.11,0.623,0.602,0.043,0.026,0.134,0.026,0.054
5,0.0,0.023,0.101,0.405,0.049,1.0,0.133,0.0,0.005,0.367,0.072,0.025,0.098,0.022,0.002,0.0,0.0,0.001,0.132,0.452,0.15,0.14,0.314,0.006,0.134,0.0,0.009,0.83,0.001,0.122
6,0.002,0.0,0.013,0.02,0.13,0.133,1.0,0.0,0.0,0.567,0.0,0.0,0.411,0.0,0.005,0.007,0.0,0.0,0.0,0.128,0.161,0.228,0.006,0.01,0.251,0.006,0.001,0.315,0.01,0.001
7,0.001,0.041,0.004,0.013,0.012,0.0,0.0,1.0,0.73,0.0,0.023,0.024,0.009,0.017,0.005,0.004,0.002,0.075,0.0,0.003,0.008,0.003,0.023,0.016,0.005,0.0,0.003,0.001,0.001,0.028
8,0.001,0.051,0.002,0.029,0.013,0.005,0.0,0.73,1.0,0.0,0.044,0.035,0.001,0.0,0.007,0.003,0.006,0.05,0.01,0.004,0.002,0.0,0.031,0.009,0.009,0.0,0.001,0.003,0.0,0.039
9,0.002,0.002,0.015,0.056,0.061,0.367,0.567,0.0,0.0,1.0,0.0,0.001,0.195,0.0,0.002,0.0,0.005,0.001,0.004,0.132,0.096,0.124,0.017,0.017,0.218,0.001,0.001,0.568,0.0,0.0
10,0.001,0.651,0.073,0.277,0.03,0.072,0.0,0.023,0.044,0.0,1.0,0.366,0.006,0.012,0.004,0.003,0.005,0.354,0.71,0.054,0.036,0.0,0.367,0.015,0.0,0.0,0.003,0.056,0.002,0.635
11,0.01,0.632,0.036,0.282,0.022,0.025,0.0,0.024,0.035,0.001,0.366,1.0,0.003,0.122,0.021,0.005,0.0,0.713,0.182,0.016,0.036,0.0,0.491,0.008,0.0,0.004,0.005,0.017,0.001,0.754
12,0.005,0.005,0.076,0.101,0.72,0.098,0.411,0.009,0.001,0.195,0.006,0.003,1.0,0.0,0.02,0.012,0.001,0.0,0.01,0.284,0.533,0.475,0.069,0.281,0.769,0.018,0.003,0.273,0.022,0.02
13,0.0,0.078,0.0,0.0,0.0,0.022,0.0,0.017,0.0,0.0,0.012,0.122,0.0,1.0,0.003,0.004,0.0,0.392,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.005,0.0,0.01,0.0,0.016
14,0.096,0.001,0.011,0.012,0.037,0.002,0.005,0.005,0.007,0.002,0.004,0.021,0.02,0.003,1.0,0.304,0.192,0.014,0.002,0.013,0.017,0.013,0.027,0.013,0.009,0.429,0.094,0.002,0.108,0.02
15,0.196,0.002,0.061,0.0,0.026,0.0,0.007,0.004,0.003,0.0,0.003,0.005,0.012,0.004,0.304,1.0,0.644,0.008,0.003,0.008,0.044,0.015,0.0,0.02,0.003,0.731,0.267,0.0,0.146,0.0
16,0.185,0.006,0.043,0.002,0.02,0.0,0.0,0.002,0.006,0.005,0.005,0.0,0.001,0.0,0.192,0.644,1.0,0.009,0.004,0.007,0.033,0.009,0.0,0.011,0.003,0.331,0.248,0.0,0.149,0.0
17,0.002,0.602,0.023,0.087,0.008,0.001,0.0,0.075,0.05,0.001,0.354,0.713,0.0,0.392,0.014,0.008,0.009,1.0,0.122,0.001,0.015,0.001,0.178,0.005,0.0,0.003,0.001,0.0,0.003,0.425
18,0.0,0.352,0.087,0.189,0.028,0.132,0.0,0.0,0.01,0.004,0.71,0.182,0.01,0.0,0.002,0.003,0.004,0.122,1.0,0.152,0.046,0.0,0.239,0.001,0.0,0.0,0.005,0.101,0.001,0.408
19,0.011,0.035,0.281,0.15,0.141,0.452,0.128,0.003,0.004,0.132,0.054,0.016,0.284,0.001,0.013,0.008,0.007,0.001,0.152,1.0,0.458,0.365,0.13,0.0,0.208,0.011,0.052,0.54,0.032,0.08
20,0.025,0.036,0.537,0.081,0.453,0.15,0.161,0.008,0.002,0.096,0.036,0.036,0.533,0.0,0.017,0.044,0.033,0.015,0.046,0.458,1.0,0.591,0.099,0.091,0.564,0.039,0.064,0.259,0.046,0.044
21,0.011,0.001,0.234,0.028,0.22,0.14,0.228,0.003,0.0,0.124,0.0,0.0,0.475,0.0,0.013,0.015,0.009,0.001,0.0,0.365,0.591,1.0,0.022,0.013,0.659,0.029,0.023,0.181,0.024,0.004
