,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.166,0.13,0.235,0.208,0.189,0.043,0.384,0.224,0.059,0.161,0.273,0.132,0.039,0.13,0.424,0.448,0.218,0.145,0.199,0.207,0.14,0.211,0.151,0.111,0.284,0.511,0.165,0.133,0.223
1,0.166,1.0,0.411,0.686,0.392,0.712,0.16,0.316,0.149,0.379,0.858,0.776,0.301,0.365,0.109,0.134,0.205,0.858,0.674,0.664,0.5,0.47,0.735,0.193,0.313,0.154,0.272,0.633,0.165,0.847
2,0.13,0.411,1.0,0.557,0.482,0.587,0.352,0.167,0.11,0.238,0.569,0.378,0.618,0.059,0.131,0.3,0.234,0.387,0.387,0.678,0.721,0.735,0.509,0.465,0.572,0.332,0.287,0.514,0.12,0.5
3,0.235,0.686,0.557,1.0,0.541,0.937,0.387,0.148,0.059,0.56,0.64,0.814,0.612,0.079,0.139,0.168,0.226,0.65,0.591,0.757,0.526,0.504,0.988,0.663,0.526,0.205,0.218,0.855,0.121,0.852
4,0.208,0.392,0.482,0.541,1.0,0.582,0.163,0.297,0.34,0.172,0.409,0.641,0.841,0.294,0.048,0.156,0.145,0.552,0.208,0.702,0.858,0.726,0.541,0.762,0.782,0.141,0.243,0.432,0.077,0.604
5,0.189,0.712,0.587,0.937,0.582,1.0,0.461,0.101,0.058,0.641,0.658,0.817,0.67,0.101,0.098,0.133,0.161,0.646,0.577,0.863,0.628,0.591,0.942,0.702,0.668,0.175,0.199,0.927,0.094,0.898
6,0.043,0.16,0.352,0.387,0.163,0.461,1.0,0.059,0.05,0.761,0.234,0.21,0.417,0.016,0.074,0.025,0.007,0.113,0.38,0.317,0.24,0.278,0.347,0.424,0.306,0.113,0.041,0.667,0.006,0.277
7,0.384,0.316,0.167,0.148,0.297,0.101,0.059,1.0,0.742,0.007,0.235,0.187,0.207,0.181,0.114,0.205,0.298,0.338,0.11,0.244,0.282,0.308,0.147,0.097,0.184,0.253,0.549,0.084,0.265,0.215
8,0.224,0.149,0.11,0.059,0.34,0.058,0.05,0.742,1.0,0.008,0.096,0.093,0.275,0.101,0.053,0.173,0.121,0.16,0.05,0.128,0.248,0.288,0.059,0.155,0.238,0.173,0.411,0.031,0.153,0.084
9,0.059,0.379,0.238,0.56,0.172,0.641,0.761,0.007,0.008,1.0,0.442,0.401,0.395,0.027,0.05,0.034,0.049,0.259,0.614,0.422,0.196,0.193,0.575,0.454,0.241,0.067,0.018,0.787,0.014,0.494
10,0.161,0.858,0.569,0.64,0.409,0.658,0.234,0.235,0.096,0.442,1.0,0.701,0.353,0.299,0.135,0.118,0.197,0.835,0.841,0.691,0.526,0.519,0.7,0.302,0.347,0.174,0.226,0.689,0.094,0.79
11,0.273,0.776,0.378,0.814,0.641,0.817,0.21,0.187,0.093,0.401,0.701,1.0,0.447,0.323,0.05,0.106,0.195,0.855,0.559,0.747,0.617,0.522,0.874,0.472,0.499,0.085,0.248,0.713,0.136,0.954
12,0.132,0.301,0.618,0.612,0.841,0.67,0.417,0.207,0.275,0.395,0.353,0.447,1.0,0.119,0.077,0.126,0.097,0.392,0.223,0.741,0.772,0.743,0.625,0.837,0.857,0.204,0.169,0.566,0.019,0.552
13,0.039,0.365,0.059,0.079,0.294,0.101,0.016,0.181,0.101,0.027,0.299,0.323,0.119,1.0,0.017,0.003,0.005,0.474,0.172,0.168,0.196,0.197,0.145,0.084,0.12,0.009,0.042,0.064,0.026,0.265
14,0.13,0.109,0.131,0.139,0.048,0.098,0.074,0.114,0.053,0.05,0.135,0.05,0.077,0.017,1.0,0.195,0.245,0.079,0.058,0.096,0.051,0.093,0.123,0.092,0.095,0.434,0.124,0.118,0.342,0.119
15,0.424,0.134,0.3,0.168,0.156,0.133,0.025,0.205,0.173,0.034,0.118,0.106,0.126,0.003,0.195,1.0,0.765,0.106,0.056,0.25,0.228,0.184,0.14,0.108,0.115,0.789,0.45,0.077,0.256,0.105
16,0.448,0.205,0.234,0.226,0.145,0.161,0.007,0.298,0.121,0.049,0.197,0.195,0.097,0.005,0.245,0.765,1.0,0.162,0.097,0.218,0.216,0.127,0.201,0.084,0.094,0.588,0.495,0.119,0.312,0.176
17,0.218,0.858,0.387,0.65,0.552,0.646,0.113,0.338,0.16,0.259,0.835,0.855,0.392,0.474,0.079,0.106,0.162,1.0,0.607,0.676,0.613,0.562,0.698,0.315,0.375,0.105,0.292,0.561,0.151,0.906
18,0.145,0.674,0.387,0.591,0.208,0.577,0.38,0.11,0.05,0.614,0.841,0.559,0.223,0.172,0.058,0.056,0.097,0.607,1.0,0.479,0.323,0.299,0.578,0.224,0.154,0.094,0.113,0.625,0.07,0.63
19,0.199,0.664,0.678,0.757,0.702,0.863,0.317,0.244,0.128,0.422,0.691,0.747,0.741,0.168,0.096,0.25,0.218,0.676,0.479,1.0,0.859,0.781,0.775,0.637,0.709,0.231,0.298,0.702,0.134,0.821
20,0.207,0.5,0.721,0.526,0.858,0.628,0.24,0.282,0.248,0.196,0.526,0.617,0.772,0.196,0.051,0.228,0.216,0.613,0.323,0.859,1.0,0.926,0.567,0.689,0.834,0.217,0.329,0.495,0.1,0.651
21,0.14,0.47,0.735,0.504,0.726,0.591,0.278,0.308,0.288,0.193,0.519,0.522,0.743,0.197,0.093,0.184,0.127,0.562,0.299,0.781,0.926,1.0,0.537,0.594,0.874,0.194,0.337,0.499,0.142,0.582
22,0.211,0.735,0.509,0.988,0.541,0.942,0.347,0.147,0.059,0.575,0.7,0.874,0.625,0.145,0.123,0.14,0.201,0.698,0.578,0.775,0.567,0.537,1.0,0.633,0.524,0.153,0.213,0.874,0.097,0.936
23,0.151,0.193,0.465,0.663,0.762,0.702,0.424,0.097,0.155,0.454,0.302,0.472,0.837,0.084,0.092,0.108,0.084,0.315,0.224,0.637,0.689,0.594,0.633,1.0,0.731,0.144,0.121,0.607,0.019,0.532
24,0.111,0.313,0.572,0.526,0.782,0.668,0.306,0.184,0.238,0.241,0.347,0.499,0.857,0.12,0.095,0.115,0.094,0.375,0.154,0.709,0.834,0.874,0.524,0.731,1.0,0.153,0.236,0.532,0.081,0.559
25,0.284,0.154,0.332,0.205,0.141,0.175,0.113,0.253,0.173,0.067,0.174,0.085,0.204,0.009,0.434,0.789,0.588,0.105,0.094,0.231,0.217,0.194,0.153,0.144,0.153,1.0,0.279,0.143,0.161,0.11
26,0.511,0.272,0.287,0.218,0.243,0.199,0.041,0.549,0.411,0.018,0.226,0.248,0.169,0.042,0.124,0.45,0.495,0.292,0.113,0.298,0.329,0.337,0.213,0.121,0.236,0.279,1.0,0.142,0.481,0.228
27,0.165,0.633,0.514,0.855,0.432,0.927,0.667,0.084,0.031,0.787,0.689,0.713,0.566,0.064,0.118,0.077,0.119,0.561,0.625,0.702,0.495,0.499,0.874,0.607,0.532,0.143,0.142,1.0,0.063,0.814
28,0.133,0.165,0.12,0.121,0.077,0.094,0.006,0.265,0.153,0.014,0.094,0.136,0.019,0.026,0.342,0.256,0.312,0.151,0.07,0.134,0.1,0.142,0.097,0.019,0.081,0.161,0.481,0.063,1.0,0.103
29,0.223,0.847,0.5,0.852,0.604,0.898,0.277,0.215,0.084,0.494,0.79,0.954,0.552,0.265,0.119,0.105,0.176,0.906,0.63,0.821,0.651,0.582,0.936,0.532,0.559,0.11,0.228,0.814,0.103,1.0
