,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.001,0.0,0.0,0.001,0.0,0.376,0.0,0.026,0.001,0.0,0.234,0.0,0.068,0.002,0.43,0.0,0.0,0.247,0.562,0.017,0.469,0.0,0.0,0.277,0.001,0.002,0.001,0.001,0.036,0.0,0.101,0.001,0.001,0.738,0.0,0.001,0.45,0.536,0.004,0.001,0.0,0.001,0.01,0.0,0.0,0.006,0.005,0.0,0.482,0.51,0.0,0.005,0.0,0.0,0.001,0.0,0.017,0.0,0.008,0.0,0.232,0.002,0.001,0.041,0.014,0.0,0.0,0.002,0.086,0.907,0.013,0.731,0.003,0.0,0.271,0.002,0.047,0.0,0.0
1,0.001,1.0,0.041,0.023,0.099,0.739,0.002,0.486,0.374,0.0,0.838,0.116,0.016,0.405,0.022,0.014,0.0,0.003,0.065,0.012,0.146,0.029,0.15,0.004,0.046,0.387,0.006,0.003,0.0,0.524,0.0,0.211,0.001,0.036,0.001,0.0,0.001,0.021,0.013,0.244,0.817,0.254,0.002,0.039,0.149,0.243,0.035,0.048,0.023,0.034,0.013,0.0,0.007,0.008,0.0,0.07,0.104,0.545,0.0,0.155,0.002,0.085,0.0,0.004,0.012,0.029,0.065,0.006,0.041,0.225,0.001,0.69,0.003,0.024,0.001,0.083,0.042,0.112,0.105,0.013
2,0.0,0.041,1.0,0.736,0.4,0.048,0.0,0.137,0.005,0.006,0.093,0.008,0.455,0.065,0.52,0.0,0.01,0.012,0.004,0.0,0.171,0.002,0.815,0.307,0.0,0.079,0.012,0.058,0.015,0.028,0.01,0.005,0.059,0.323,0.0,0.066,0.006,0.0,0.0,0.443,0.112,0.588,0.024,0.358,0.569,0.241,0.426,0.417,0.683,0.0,0.0,0.016,0.0,0.22,0.005,0.618,0.911,0.025,0.007,0.557,0.05,0.004,0.008,0.018,0.124,0.241,0.402,0.042,0.527,0.007,0.0,0.035,0.0,0.782,0.033,0.009,0.85,0.183,0.921,0.442
3,0.0,0.023,0.736,1.0,0.557,0.042,0.0,0.067,0.003,0.019,0.082,0.014,0.228,0.068,0.66,0.0,0.008,0.019,0.002,0.003,0.389,0.003,0.533,0.139,0.003,0.04,0.012,0.1,0.015,0.017,0.025,0.012,0.122,0.535,0.0,0.096,0.015,0.002,0.0,0.608,0.099,0.572,0.014,0.687,0.528,0.374,0.765,0.762,0.812,0.002,0.002,0.018,0.0,0.106,0.011,0.572,0.604,0.017,0.013,0.53,0.079,0.004,0.018,0.023,0.315,0.489,0.614,0.053,0.844,0.005,0.0,0.027,0.003,0.552,0.034,0.016,0.789,0.306,0.673,0.238
4,0.001,0.099,0.4,0.557,1.0,0.214,0.0,0.167,0.05,0.005,0.193,0.035,0.149,0.142,0.416,0.001,0.002,0.008,0.014,0.005,0.563,0.003,0.359,0.062,0.007,0.127,0.007,0.064,0.006,0.051,0.004,0.03,0.03,0.37,0.0,0.023,0.007,0.002,0.001,0.704,0.199,0.726,0.014,0.452,0.829,0.571,0.603,0.637,0.516,0.007,0.003,0.005,0.001,0.041,0.001,0.248,0.405,0.119,0.004,0.266,0.019,0.014,0.002,0.023,0.148,0.37,0.925,0.021,0.782,0.027,0.003,0.137,0.0,0.164,0.009,0.031,0.358,0.236,0.436,0.139
5,0.0,0.739,0.048,0.042,0.214,1.0,0.0,0.372,0.4,0.0,0.708,0.083,0.035,0.278,0.044,0.011,0.0,0.001,0.072,0.015,0.178,0.016,0.141,0.007,0.048,0.42,0.002,0.008,0.001,0.455,0.0,0.168,0.002,0.045,0.004,0.001,0.0,0.015,0.013,0.285,0.662,0.323,0.001,0.046,0.268,0.329,0.068,0.042,0.043,0.026,0.008,0.002,0.014,0.004,0.0,0.043,0.1,0.684,0.002,0.127,0.0,0.064,0.0,0.007,0.013,0.054,0.119,0.002,0.07,0.223,0.002,0.736,0.001,0.035,0.0,0.078,0.067,0.111,0.094,0.014
6,0.376,0.002,0.0,0.0,0.0,0.0,1.0,0.0,0.027,0.001,0.002,0.127,0.0,0.022,0.0,0.642,0.0,0.001,0.213,0.504,0.004,0.41,0.002,0.0,0.279,0.0,0.0,0.0,0.002,0.02,0.0,0.086,0.0,0.0,0.632,0.0,0.0,0.285,0.521,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.218,0.553,0.0,0.001,0.0,0.001,0.0,0.0,0.019,0.0,0.005,0.0,0.177,0.0,0.0,0.007,0.001,0.0,0.0,0.0,0.069,0.509,0.013,0.608,0.0,0.0,0.118,0.0,0.018,0.0,0.0
7,0.0,0.486,0.137,0.067,0.167,0.372,0.0,1.0,0.073,0.002,0.769,0.008,0.128,0.122,0.111,0.001,0.0,0.007,0.007,0.0,0.071,0.002,0.315,0.055,0.003,0.74,0.008,0.018,0.002,0.124,0.002,0.023,0.003,0.097,0.0,0.008,0.0,0.001,0.0,0.211,0.714,0.403,0.014,0.033,0.281,0.305,0.068,0.074,0.114,0.002,0.002,0.001,0.002,0.083,0.0,0.18,0.249,0.111,0.001,0.169,0.001,0.006,0.003,0.014,0.006,0.032,0.134,0.019,0.079,0.03,0.001,0.209,0.0,0.08,0.008,0.005,0.106,0.056,0.266,0.126
8,0.026,0.374,0.005,0.003,0.05,0.4,0.027,0.073,1.0,0.0,0.211,0.406,0.002,0.529,0.007,0.144,0.0,0.003,0.491,0.187,0.125,0.154,0.026,0.001,0.445,0.053,0.0,0.0,0.0,0.738,0.0,0.64,0.0,0.008,0.036,0.0,0.0,0.209,0.174,0.109,0.229,0.056,0.0,0.021,0.048,0.088,0.013,0.013,0.013,0.257,0.138,0.0,0.019,0.0,0.0,0.01,0.013,0.819,0.0,0.046,0.0,0.48,0.0,0.001,0.012,0.019,0.023,0.0,0.012,0.782,0.035,0.79,0.072,0.005,0.001,0.27,0.009,0.125,0.01,0.001
9,0.001,0.0,0.006,0.019,0.005,0.0,0.001,0.002,0.0,1.0,0.0,0.004,0.008,0.003,0.015,0.0,0.466,0.414,0.0,0.0,0.006,0.002,0.009,0.011,0.0,0.0,0.421,0.284,0.066,0.002,0.034,0.001,0.147,0.009,0.001,0.176,0.78,0.004,0.0,0.008,0.003,0.012,0.057,0.008,0.008,0.004,0.017,0.017,0.015,0.001,0.002,0.305,0.0,0.004,0.169,0.019,0.004,0.0,0.047,0.006,0.195,0.001,0.728,0.325,0.013,0.008,0.01,0.361,0.012,0.0,0.002,0.0,0.0,0.005,0.051,0.002,0.013,0.006,0.008,0.008
10,0.0,0.838,0.093,0.082,0.193,0.708,0.002,0.769,0.211,0.0,1.0,0.057,0.07,0.263,0.074,0.005,0.001,0.008,0.023,0.001,0.132,0.005,0.322,0.018,0.011,0.609,0.005,0.011,0.001,0.318,0.001,0.106,0.003,0.045,0.0,0.003,0.004,0.01,0.001,0.273,0.895,0.425,0.004,0.043,0.291,0.345,0.082,0.081,0.072,0.018,0.002,0.0,0.001,0.029,0.0,0.153,0.2,0.313,0.0,0.227,0.003,0.029,0.001,0.019,0.013,0.048,0.121,0.011,0.078,0.103,0.0,0.495,0.001,0.069,0.007,0.039,0.112,0.114,0.239,0.046
