,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.052,0.74,0.098,0.005,0.94,0.001,0.013,0.947,0.005,0.007,0.35,0.542,0.012,0.653,0.795,0.07,0.56,0.0,0.01,0.007,0.014,0.036,0.013,0.002,0.016,0.001,0.192,0.725,0.051,0.474,0.021,0.026,0.595,0.006,0.738,0.015,0.017,0.002,0.006,0.023,0.812,0.595,0.033,0.001,0.781,0.229,0.725,0.008,0.014,0.046,0.054,0.571,0.001,0.868,0.003,0.0,0.004,0.36,0.054,0.987,0.156,0.002,0.017,0.003,0.788,0.744,0.005,0.68,0.052,0.366,0.281,0.029,0.003,0.002,0.022,0.067,0.76,0.029,0.738
1,0.052,1.0,0.068,0.163,0.052,0.03,0.037,0.029,0.021,0.052,0.371,0.014,0.108,0.125,0.059,0.084,0.02,0.016,0.009,0.053,0.082,0.053,0.043,0.028,0.02,0.157,0.043,0.112,0.078,0.047,0.114,0.043,0.064,0.026,0.035,0.098,0.047,0.116,0.012,0.076,0.032,0.075,0.041,0.044,0.012,0.096,0.078,0.052,0.066,0.439,0.275,0.046,0.014,0.011,0.014,0.017,0.054,0.037,0.022,0.049,0.04,0.073,0.037,0.026,0.041,0.057,0.031,0.027,0.1,0.366,0.06,0.031,0.215,0.048,0.03,0.319,0.083,0.07,0.045,0.058
2,0.74,0.068,1.0,0.106,0.021,0.573,0.012,0.046,0.614,0.007,0.007,0.599,0.684,0.002,0.729,0.846,0.148,0.275,0.001,0.014,0.01,0.059,0.136,0.052,0.002,0.008,0.004,0.532,0.719,0.145,0.814,0.102,0.112,0.362,0.027,0.71,0.04,0.005,0.001,0.008,0.03,0.799,0.349,0.095,0.001,0.856,0.328,0.442,0.007,0.022,0.04,0.079,0.28,0.0,0.496,0.002,0.007,0.017,0.58,0.191,0.731,0.177,0.016,0.027,0.009,0.86,0.832,0.024,0.625,0.054,0.447,0.473,0.034,0.009,0.018,0.017,0.084,0.904,0.087,0.672
3,0.098,0.163,0.106,1.0,0.008,0.056,0.001,0.003,0.08,0.019,0.12,0.031,0.055,0.066,0.065,0.098,0.007,0.099,0.001,0.025,0.034,0.003,0.007,0.002,0.001,0.114,0.009,0.074,0.044,0.012,0.074,0.011,0.006,0.097,0.009,0.106,0.005,0.031,0.002,0.031,0.548,0.065,0.105,0.006,0.001,0.079,0.467,0.087,0.014,0.187,0.299,0.145,0.084,0.0,0.093,0.002,0.004,0.001,0.021,0.011,0.093,0.248,0.002,0.001,0.003,0.108,0.061,0.002,0.06,0.262,0.029,0.026,0.423,0.004,0.003,0.091,0.721,0.085,0.009,0.101
4,0.005,0.052,0.021,0.008,1.0,0.0,0.682,0.572,0.001,0.0,0.008,0.05,0.03,0.006,0.009,0.017,0.343,0.0,0.28,0.0,0.0,0.702,0.351,0.456,0.63,0.003,0.0,0.048,0.008,0.462,0.073,0.678,0.63,0.001,0.838,0.017,0.76,0.001,0.438,0.0,0.003,0.02,0.001,0.557,0.236,0.008,0.015,0.005,0.005,0.022,0.009,0.001,0.001,0.197,0.001,0.0,0.85,0.871,0.09,0.329,0.002,0.004,0.785,0.279,0.669,0.005,0.011,0.627,0.009,0.007,0.053,0.085,0.008,0.846,0.842,0.007,0.001,0.026,0.488,0.003
5,0.94,0.03,0.573,0.056,0.0,1.0,0.0,0.011,0.97,0.006,0.003,0.275,0.426,0.006,0.531,0.63,0.033,0.71,0.0,0.008,0.017,0.002,0.019,0.007,0.001,0.012,0.006,0.095,0.585,0.038,0.348,0.016,0.03,0.733,0.004,0.674,0.006,0.008,0.001,0.007,0.031,0.698,0.733,0.008,0.0,0.649,0.18,0.802,0.014,0.031,0.07,0.052,0.709,0.0,0.937,0.004,0.0,0.0,0.256,0.031,0.923,0.175,0.001,0.005,0.001,0.693,0.611,0.003,0.582,0.045,0.317,0.18,0.024,0.0,0.003,0.024,0.068,0.594,0.011,0.692
6,0.001,0.037,0.012,0.001,0.682,0.0,1.0,0.569,0.0,0.0,0.012,0.017,0.03,0.001,0.002,0.011,0.284,0.001,0.564,0.001,0.001,0.578,0.243,0.443,0.874,0.003,0.0,0.028,0.011,0.284,0.036,0.46,0.417,0.001,0.664,0.018,0.708,0.003,0.697,0.002,0.0,0.017,0.002,0.411,0.501,0.004,0.002,0.002,0.017,0.013,0.004,0.0,0.0,0.516,0.0,0.0,0.782,0.82,0.049,0.189,0.001,0.005,0.765,0.389,0.739,0.006,0.007,0.729,0.005,0.005,0.046,0.053,0.007,0.878,0.777,0.011,0.001,0.01,0.344,0.002
7,0.013,0.029,0.046,0.003,0.572,0.011,0.569,1.0,0.01,0.001,0.021,0.083,0.095,0.002,0.028,0.052,0.749,0.003,0.208,0.001,0.001,0.789,0.583,0.855,0.417,0.001,0.0,0.08,0.056,0.719,0.161,0.707,0.784,0.0,0.445,0.026,0.417,0.003,0.367,0.0,0.006,0.041,0.001,0.797,0.136,0.033,0.01,0.008,0.006,0.002,0.003,0.001,0.002,0.2,0.005,0.0,0.616,0.688,0.2,0.558,0.018,0.002,0.755,0.82,0.559,0.011,0.02,0.925,0.052,0.008,0.059,0.29,0.006,0.512,0.831,0.005,0.005,0.052,0.842,0.007
8,0.947,0.021,0.614,0.08,0.001,0.97,0.0,0.01,1.0,0.007,0.005,0.324,0.469,0.015,0.62,0.646,0.042,0.637,0.001,0.013,0.016,0.004,0.032,0.012,0.0,0.012,0.003,0.136,0.569,0.041,0.38,0.017,0.015,0.672,0.004,0.729,0.01,0.009,0.0,0.01,0.022,0.757,0.667,0.017,0.0,0.666,0.222,0.764,0.005,0.014,0.032,0.065,0.636,0.002,0.925,0.002,0.002,0.002,0.276,0.04,0.919,0.185,0.005,0.015,0.002,0.768,0.723,0.001,0.578,0.036,0.365,0.199,0.021,0.001,0.002,0.028,0.07,0.653,0.016,0.711
9,0.005,0.052,0.007,0.019,0.0,0.006,0.0,0.001,0.007,1.0,0.018,0.0,0.015,0.014,0.021,0.015,0.0,0.006,0.0,0.835,0.519,0.001,0.0,0.0,0.001,0.011,0.768,0.014,0.004,0.001,0.006,0.0,0.0,0.004,0.0,0.027,0.001,0.557,0.001,0.415,0.01,0.007,0.012,0.002,0.0,0.012,0.018,0.012,0.37,0.009,0.016,0.348,0.003,0.0,0.01,0.624,0.0,0.0,0.0,0.003,0.007,0.053,0.0,0.0,0.0,0.013,0.005,0.0,0.013,0.081,0.002,0.0,0.005,0.001,0.0,0.01,0.021,0.004,0.001,0.021
