,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,1.0,0.0,0.087,0.0,0.001,0.247,0.004,0.005,0.017,0.0,0.001,0.474,0.219,0.0,0.0,0.0,0.0,0.517,0.02,0.2,0.04,0.002,0.383,0.178,0.0,0.0,0.116,0.0,0.006,0.0,0.21,0.001,0.331,0.013,0.005,0.0,0.071,0.0,0.0,0.6,0.005,0.0,0.02,0.001,0.001,0.005,0.004,0.1,0.014,0.021,0.0,0.0,0.023,0.356,0.0,0.025,0.0,0.013,0.0,0.017,0.0,0.0,0.003,0.268,0.0,0.491,0.216,0.252,0.0,0.643,0.001,0.001,0.443,0.003,0.38,0.092,0.0,0.02,0.0,0.128,0.416,0.008,0.287,0.138,0.003,0.234,0.003,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.004,0.007,0.0,0.004,0.0,0.0,0.069,0.028,0.0,0.0,0.0,0.35,0.212,0.136,0.07,0.001,0.0,0.231,0.0,0.0,0.118,0.417,0.001,0.05,0.0,0.164,0.325,0.0,0.003,0.0,0.0,0.144,0.0,0.214,0.0,0.001,0.001,0.0,0.0,0.001,0.087,0.165,0.001,0.0,0.0,0.0,0.033,0.005,0.343,0.001,0.011,0.0,0.0,0.001,0.0,0.001,0.015,0.054,0.001,0.475,0.0,0.005,0.171,0.005,0.036,0.225,0.046,0.0,0.0,0.129,0.0,0.391,0.168,0.131,0.006,0.322,0.0,0.0,0.0,0.19,0.534,0.0,0.007,0.01,0.376,0.0,0.0,0.0,0.0,0.127,0.425,0.082,0.0,0.004,0.0,0.048,0.0,0.259,0.0,0.163,0.212,0.0,0.001,0.001,0.0,0.0
1,0.0,1.0,0.021,0.006,0.005,0.021,0.156,0.001,0.004,0.547,0.627,0.009,0.0,0.475,0.183,0.618,0.29,0.002,0.0,0.025,0.0,0.585,0.0,0.016,0.531,0.543,0.039,0.437,0.194,0.408,0.002,0.004,0.0,0.001,0.133,0.012,0.032,0.621,0.539,0.003,0.297,0.188,0.0,0.887,0.561,0.083,0.001,0.071,0.0,0.159,0.34,0.56,0.0,0.0,0.0,0.028,0.265,0.068,0.337,0.003,0.217,0.66,0.073,0.026,0.437,0.002,0.009,0.0,0.44,0.0,0.038,0.006,0.0,0.092,0.003,0.0,0.396,0.0,0.412,0.0,0.0,0.273,0.0,0.044,0.164,0.0,0.166,0.559,0.095,0.221,0.002,0.0,0.0,0.191,0.04,0.07,0.083,0.583,0.0,0.43,0.06,0.004,0.0,0.0,0.0,0.0,0.003,0.056,0.058,0.744,0.277,0.0,0.293,0.183,0.0,0.0,0.027,0.038,0.278,0.02,0.0,0.573,0.002,0.541,0.87,0.024,0.512,0.0,0.04,0.523,0.008,0.407,0.002,0.0,0.05,0.038,0.606,0.334,0.267,0.326,0.0,0.113,0.001,0.4,0.0,0.652,0.32,0.0,0.205,0.157,0.002,0.0,0.16,0.004,0.18,0.308,0.0,0.452,0.023,0.012,0.0,0.249,0.468,0.047,0.378,0.0,0.002,0.027,0.002,0.001,0.452,0.274,0.442,0.035,0.001,0.282,0.001,0.001,0.002,0.324,0.635,0.0,0.003,0.0,0.0,0.055,0.416,0.003,0.403,0.0,0.492,0.002,0.321,0.003,0.005,0.004,0.366,0.007,0.404,0.0
2,0.087,0.021,1.0,0.001,0.0,0.609,0.036,0.0,0.009,0.003,0.02,0.549,0.082,0.0,0.0,0.001,0.004,0.243,0.002,0.782,0.0,0.021,0.05,0.631,0.0,0.0,0.67,0.001,0.005,0.004,0.104,0.016,0.057,0.034,0.101,0.001,0.899,0.001,0.0,0.275,0.034,0.0,0.002,0.021,0.001,0.028,0.021,0.547,0.0,0.107,0.006,0.008,0.003,0.061,0.004,0.26,0.001,0.062,0.012,0.038,0.0,0.002,0.013,0.62,0.0,0.278,0.36,0.019,0.0,0.118,0.0,0.019,0.063,0.033,0.443,0.01,0.019,0.003,0.001,0.0,0.319,0.029,0.043,0.482,0.092,0.003,0.035,0.01,0.07,0.0,0.018,0.002,0.01,0.0,0.003,0.261,0.002,0.027,0.004,0.002,0.522,0.029,0.001,0.025,0.0,0.067,0.292,0.563,0.652,0.02,0.0,0.441,0.047,0.003,0.001,0.081,0.076,0.329,0.002,0.912,0.223,0.0,0.001,0.0,0.006,0.636,0.0,0.012,0.0,0.026,0.0,0.0,0.001,0.0,0.57,0.765,0.004,0.0,0.001,0.0,0.0,0.006,0.117,0.003,0.0,0.02,0.0,0.006,0.0,0.013,0.004,0.006,0.001,0.459,0.005,0.008,0.014,0.01,0.321,0.619,0.0,0.001,0.0,0.48,0.0,0.203,0.019,0.882,0.008,0.084,0.0,0.0,0.0,0.743,0.441,0.001,0.011,0.008,0.398,0.0,0.0,0.001,0.007,0.014,0.154,0.341,0.007,0.016,0.001,0.006,0.0,0.4,0.0,0.033,0.014,0.022,0.015,0.025,0.011,0.0
3,0.0,0.006,0.001,1.0,0.022,0.001,0.0,0.001,0.131,0.01,0.006,0.003,0.0,0.004,0.021,0.004,0.0,0.0,0.218,0.008,0.004,0.011,0.0,0.001,0.001,0.004,0.016,0.004,0.017,0.004,0.001,0.238,0.0,0.253,0.0,0.0,0.002,0.007,0.008,0.0,0.002,0.019,0.028,0.001,0.001,0.003,0.174,0.001,0.0,0.006,0.0,0.003,0.163,0.0,0.209,0.018,0.009,0.0,0.0,0.391,0.0,0.001,0.011,0.004,0.01,0.0,0.0,0.0,0.007,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.012,0.021,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.011,0.003,0.002,0.001,0.0,0.168,0.03,0.423,0.006,0.006,0.007,0.039,0.003,0.133,0.011,0.015,0.296,0.29,0.198,0.097,0.0,0.0,0.004,0.003,0.004,0.003,0.001,0.018,0.001,0.001,0.0,0.014,0.003,0.003,0.004,0.002,0.0,0.105,0.004,0.002,0.0,0.0,0.005,0.0,0.02,0.667,0.0,0.17,0.001,0.003,0.005,0.007,0.015,0.006,0.006,0.0,0.001,0.001,0.0,0.246,0.003,0.001,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.007,0.0,0.0,0.0,0.0,0.01,0.0,0.019,0.001,0.0,0.002,0.285,0.0,0.011,0.008,0.0,0.0,0.0,0.006,0.126,0.327,0.002,0.0,0.0,0.281,0.28,0.0,0.001,0.003,0.001,0.26,0.006,0.238,0.002,0.004,0.026,0.001,0.0,0.0,0.0,0.238,0.006,0.027
4,0.001,0.005,0.0,0.022,1.0,0.001,0.021,0.0,0.044,0.005,0.006,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.004,0.001,0.008,0.003,0.0,0.008,0.001,0.002,0.0,0.001,0.006,0.004,0.0,0.012,0.0,0.029,0.001,0.002,0.0,0.001,0.004,0.0,0.0,0.004,0.112,0.01,0.009,0.01,0.024,0.0,0.193,0.001,0.001,0.001,0.009,0.001,0.083,0.028,0.0,0.015,0.01,0.015,0.011,0.021,0.001,0.003,0.004,0.0,0.001,0.0,0.006,0.001,0.0,0.03,0.0,0.01,0.004,0.0,0.001,0.112,0.01,0.093,0.0,0.0,0.0,0.003,0.001,0.0,0.006,0.0,0.005,0.002,0.098,0.047,0.034,0.0,0.001,0.002,0.001,0.003,0.041,0.0,0.0,0.034,0.033,0.057,0.0,0.0,0.0,0.001,0.0,0.016,0.003,0.0,0.001,0.011,0.0,0.0,0.014,0.006,0.006,0.01,0.0,0.011,0.158,0.001,0.012,0.006,0.003,0.0,0.003,0.003,0.001,0.003,0.226,0.0,0.0,0.003,0.007,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.045,0.002,0.002,0.039,0.005,0.01,0.554,0.109,0.003,0.0,0.012,0.002,0.0,0.002,0.0,0.01,0.003,0.003,0.003,0.003,0.006,0.0,0.0,0.001,0.033,0.0,0.003,0.006,0.002,0.003,0.0,0.006,0.028,0.022,0.001,0.002,0.003,0.062,0.022,0.0,0.0,0.0,0.0,0.078,0.0,0.001,0.005,0.0,0.001,0.0,0.0,0.185,0.009,0.049,0.0,0.017
5,0.247,0.021,0.609,0.001,0.001,1.0,0.028,0.0,0.0,0.002,0.029,0.542,0.42,0.002,0.0,0.003,0.022,0.698,0.007,0.794,0.003,0.032,0.215,0.832,0.004,0.0,0.532,0.0,0.021,0.0,0.315,0.063,0.265,0.074,0.072,0.0,0.523,0.0,0.001,0.471,0.03,0.0,0.0,0.019,0.0,0.02,0.04,0.566,0.0,0.06,0.032,0.001,0.011,0.283,0.004,0.146,0.001,0.07,0.005,0.055,0.001,0.0,0.0,0.613,0.0,0.655,0.752,0.12,0.0,0.431,0.002,0.02,0.309,0.017,0.733,0.087,0.002,0.0,0.001,0.001,0.545,0.084,0.255,0.645,0.06,0.001,0.006,0.0,0.004,0.001,0.031,0.0,0.045,0.002,0.002,0.083,0.002,0.015,0.005,0.0,0.362,0.05,0.006,0.032,0.002,0.293,0.609,0.694,0.419,0.02,0.0,0.733,0.025,0.007,0.0,0.364,0.008,0.166,0.0,0.706,0.517,0.001,0.013,0.001,0.0,0.755,0.003,0.04,0.0,0.026,0.0,0.001,0.011,0.0,0.41,0.766,0.001,0.0,0.001,0.001,0.005,0.028,0.382,0.016,0.007,0.004,0.002,0.005,0.005,0.006,0.001,0.0,0.006,0.65,0.0,0.05,0.096,0.027,0.076,0.743,0.009,0.001,0.0,0.59,0.0,0.626,0.125,0.793,0.014,0.367,0.0,0.0,0.004,0.729,0.737,0.002,0.015,0.032,0.836,0.003,0.0,0.0,0.018,0.098,0.458,0.21,0.008,0.022,0.004,0.018,0.003,0.577,0.0,0.177,0.146,0.041,0.001,0.02,0.005,0.0
6,0.004,0.156,0.036,0.0,0.021,0.028,1.0,0.005,0.0,0.05,0.145,0.005,0.001,0.04,0.035,0.087,0.155,0.006,0.0,0.054,0.0,0.016,0.0,0.09,0.264,0.13,0.031,0.049,0.0,0.168,0.016,0.001,0.0,0.001,0.466,0.247,0.035,0.089,0.145,0.001,0.0,0.045,0.002,0.256,0.376,0.673,0.015,0.002,0.0,0.0,0.315,0.095,0.0,0.0,0.012,0.0,0.095,0.619,0.312,0.0,0.381,0.49,0.0,0.004,0.089,0.003,0.1,0.0,0.119,0.0,0.218,0.015,0.004,0.619,0.016,0.001,0.035,0.002,0.481,0.0,0.0,0.0,0.002,0.001,0.466,0.0,0.0,0.096,0.0,0.36,0.009,0.01,0.002,0.0,0.014,0.014,0.001,0.06,0.015,0.05,0.011,0.004,0.0,0.004,0.0,0.0,0.074,0.026,0.019,0.151,0.073,0.004,0.008,0.414,0.001,0.002,0.002,0.0,0.153,0.051,0.001,0.488,0.083,0.098,0.282,0.056,0.226,0.001,0.373,0.043,0.0,0.22,0.071,0.0,0.004,0.06,0.079,0.032,0.002,0.022,0.0,0.028,0.0,0.205,0.0,0.145,0.15,0.008,0.411,0.519,0.015,0.0,0.43,0.025,0.716,0.001,0.001,0.007,0.0,0.062,0.003,0.291,0.05,0.001,0.106,0.005,0.0,0.053,0.001,0.006,0.097,0.048,0.306,0.008,0.01,0.137,0.003,0.0,0.016,0.34,0.351,0.003,0.004,0.0,0.0,0.0,0.185,0.006,0.04,0.001,0.206,0.0,0.018,0.0,0.0,0.094,0.487,0.026,0.013,0.0
7,0.005,0.001,0.0,0.001,0.0,0.0,0.005,1.0,0.007,0.0,0.0,0.0,0.004,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.009,0.001,0.002,0.0,0.0,0.0,0.031,0.001,0.0,0.0,0.0,0.018,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.012,0.0,0.124,0.0,0.0,0.001,0.0,0.0,0.053,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.143,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.559,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.001,0.0,0.0,0.009,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
8,0.017,0.004,0.009,0.131,0.044,0.0,0.0,0.007,1.0,0.004,0.008,0.0,0.0,0.004,0.081,0.0,0.0,0.0,0.016,0.004,0.0,0.001,0.0,0.002,0.0,0.012,0.029,0.017,0.008,0.006,0.0,0.049,0.002,0.172,0.0,0.0,0.025,0.005,0.021,0.0,0.0,0.083,0.211,0.0,0.0,0.0,0.049,0.002,0.0,0.028,0.0,0.002,0.011,0.001,0.024,0.043,0.012,0.0,0.003,0.073,0.0,0.011,0.01,0.013,0.032,0.0,0.0,0.001,0.026,0.003,0.0,0.015,0.003,0.0,0.0,0.0,0.006,0.075,0.003,0.0,0.0,0.0,0.0,0.006,0.001,0.002,0.079,0.028,0.062,0.0,0.109,0.0,0.202,0.013,0.011,0.067,0.007,0.002,0.014,0.006,0.048,0.099,0.364,0.121,0.0,0.0,0.0,0.014,0.042,0.002,0.034,0.0,0.0,0.008,0.0,0.0,0.106,0.042,0.01,0.009,0.0,0.001,0.006,0.001,0.003,0.003,0.003,0.0,0.0,0.003,0.003,0.004,0.11,0.0,0.029,0.006,0.005,0.002,0.005,0.019,0.0,0.0,0.0,0.001,0.054,0.008,0.006,0.013,0.009,0.0,0.007,0.013,0.0,0.0,0.0,0.001,0.0,0.003,0.035,0.001,0.001,0.002,0.023,0.002,0.059,0.0,0.011,0.001,0.161,0.0,0.038,0.035,0.007,0.002,0.0,0.037,0.046,0.041,0.0,0.002,0.0,0.335,0.131,0.0,0.0,0.033,0.002,0.135,0.0,0.009,0.003,0.0,0.047,0.0,0.002,0.0,0.0,0.18,0.001,0.0
9,0.0,0.547,0.003,0.01,0.005,0.002,0.05,0.0,0.004,1.0,0.485,0.004,0.0,0.782,0.34,0.788,0.463,0.0,0.0,0.003,0.0,0.646,0.0,0.003,0.365,0.765,0.007,0.867,0.242,0.394,0.0,0.002,0.001,0.004,0.143,0.005,0.007,0.912,0.744,0.003,0.381,0.352,0.0,0.486,0.261,0.084,0.0,0.013,0.0,0.04,0.352,0.796,0.0,0.0,0.0,0.012,0.662,0.041,0.211,0.0,0.291,0.349,0.002,0.014,0.852,0.0,0.0,0.0,0.715,0.0,0.054,0.0,0.0,0.094,0.0,0.0,0.546,0.0,0.34,0.0,0.003,0.31,0.0,0.016,0.163,0.0,0.109,0.492,0.05,0.256,0.001,0.0,0.001,0.466,0.151,0.018,0.205,0.694,0.001,0.726,0.025,0.001,0.003,0.001,0.0,0.0,0.0,0.011,0.018,0.433,0.603,0.002,0.318,0.325,0.0,0.0,0.011,0.03,0.562,0.01,0.0,0.304,0.001,0.793,0.603,0.002,0.624,0.0,0.021,0.368,0.004,0.541,0.001,0.0,0.017,0.004,0.894,0.684,0.51,0.751,0.0,0.12,0.003,0.455,0.0,0.629,0.614,0.001,0.339,0.148,0.0,0.0,0.179,0.0,0.16,0.327,0.0,0.427,0.037,0.002,0.0,0.429,0.81,0.014,0.655,0.0,0.0,0.004,0.001,0.0,0.823,0.651,0.403,0.011,0.0,0.62,0.0,0.0,0.0,0.459,0.338,0.002,0.0,0.0,0.0,0.031,0.492,0.001,0.6,0.0,0.61,0.0,0.7,0.0,0.0,0.001,0.305,0.001,0.695,0.0
