,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.252,0.071,0.044,0.042,0.035,0.049,0.001,0.042,0.082,0.031,0.081,0.036,0.509,0.117,0.201,0.052,0.189,0.128,0.009
1,0.252,1.0,0.022,0.027,0.02,0.04,0.0,0.221,0.112,0.088,0.043,0.089,0.005,0.01,0.054,0.068,0.009,0.974,0.009,0.042
2,0.071,0.022,1.0,0.569,0.12,0.019,0.041,0.087,0.231,0.007,0.361,0.005,0.006,0.098,0.343,0.071,0.027,0.007,0.116,0.371
3,0.044,0.027,0.569,1.0,0.319,0.25,0.469,0.071,0.163,0.04,0.083,0.035,0.3,0.064,0.103,0.246,0.039,0.0,0.136,0.905
4,0.042,0.02,0.12,0.319,1.0,0.403,0.4,0.144,0.061,0.011,0.001,0.015,0.196,0.007,0.155,0.038,0.004,0.0,0.08,0.177
5,0.035,0.04,0.019,0.25,0.403,1.0,0.754,0.155,0.013,0.024,0.166,0.022,0.802,0.059,0.017,0.273,0.056,0.014,0.13,0.338
6,0.049,0.0,0.041,0.469,0.4,0.754,1.0,0.242,0.032,0.016,0.009,0.015,0.864,0.139,0.024,0.503,0.006,0.016,0.226,0.429
7,0.001,0.221,0.087,0.071,0.144,0.155,0.242,1.0,0.098,0.095,0.063,0.075,0.263,0.011,0.116,0.014,0.001,0.253,0.02,0.051
8,0.042,0.112,0.231,0.163,0.061,0.013,0.032,0.098,1.0,0.328,0.01,0.333,0.007,0.034,0.053,0.039,0.149,0.153,0.009,0.155
9,0.082,0.088,0.007,0.04,0.011,0.024,0.016,0.095,0.328,1.0,0.074,1.0,0.053,0.263,0.042,0.0,0.403,0.123,0.215,0.089
10,0.031,0.043,0.361,0.083,0.001,0.166,0.009,0.063,0.01,0.074,1.0,0.079,0.063,0.006,0.1,0.012,0.183,0.051,0.002,0.055
11,0.081,0.089,0.005,0.035,0.015,0.022,0.015,0.075,0.333,1.0,0.079,1.0,0.053,0.244,0.037,0.001,0.435,0.114,0.214,0.093
12,0.036,0.005,0.006,0.3,0.196,0.802,0.864,0.263,0.007,0.053,0.063,0.053,1.0,0.154,0.004,0.329,0.089,0.013,0.113,0.411
13,0.509,0.01,0.098,0.064,0.007,0.059,0.139,0.011,0.034,0.263,0.006,0.244,0.154,1.0,0.216,0.07,0.108,0.006,0.765,0.071
14,0.117,0.054,0.343,0.103,0.155,0.017,0.024,0.116,0.053,0.042,0.1,0.037,0.004,0.216,1.0,0.003,0.032,0.032,0.129,0.028
15,0.201,0.068,0.071,0.246,0.038,0.273,0.503,0.014,0.039,0.0,0.012,0.001,0.329,0.07,0.003,1.0,0.03,0.062,0.186,0.169
16,0.052,0.009,0.027,0.039,0.004,0.056,0.006,0.001,0.149,0.403,0.183,0.435,0.089,0.108,0.032,0.03,1.0,0.021,0.227,0.145
17,0.189,0.974,0.007,0.0,0.0,0.014,0.016,0.253,0.153,0.123,0.051,0.114,0.013,0.006,0.032,0.062,0.021,1.0,0.004,0.004
18,0.128,0.009,0.116,0.136,0.08,0.13,0.226,0.02,0.009,0.215,0.002,0.214,0.113,0.765,0.129,0.186,0.227,0.004,1.0,0.104
19,0.009,0.042,0.371,0.905,0.177,0.338,0.429,0.051,0.155,0.089,0.055,0.093,0.411,0.071,0.028,0.169,0.145,0.004,0.104,1.0
