,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.135,0.078,0.086,0.853,0.011,0.257,0.034,0.012,0.002,0.026,0.042,0.04,0.0,0.225,0.056,0.24,1.0,0.248,0.161,0.018,1.0,0.183,0.0,0.159,0.295,0.001,0.255,0.045,0.224,0.005,0.0,0.253,0.136,0.01,0.0,0.018,0.017,0.067,0.109,0.011,0.157,0.005,0.152,0.001,0.054,0.0,0.0,0.001,0.065,0.222,1.0,0.037,0.004,0.217,0.199,0.057,0.109,0.033,0.005,1.0,0.149,0.088,0.03,0.0,0.023,0.002,0.073,0.156,1.0,0.074,1.0,0.244,0.181,0.004,0.65,0.008,0.11,0.061,0.452
1,0.135,1.0,0.267,0.042,0.232,0.211,0.262,0.039,0.077,0.247,0.001,0.017,0.007,0.224,0.163,0.062,0.251,0.108,0.258,0.032,0.068,0.151,0.04,0.272,0.04,0.276,0.139,0.025,0.003,0.025,0.381,0.011,0.006,0.039,0.032,0.045,0.028,0.058,0.573,0.007,0.058,0.02,0.066,0.169,0.232,0.051,0.031,0.01,0.013,0.578,0.177,0.135,0.038,0.241,0.158,0.024,0.069,0.084,0.002,0.087,0.13,0.183,0.21,0.004,0.038,0.108,0.035,0.574,0.179,0.144,0.092,0.131,0.005,0.162,0.247,0.147,0.009,0.103,0.215,0.246
2,0.078,0.267,1.0,0.017,0.023,0.106,0.025,0.276,0.103,0.15,0.033,0.271,0.062,0.143,0.062,0.261,0.024,0.064,0.02,0.085,0.022,0.064,0.067,0.227,0.07,0.003,0.0,0.311,0.052,0.002,0.307,0.15,0.216,0.096,0.046,0.192,0.052,0.046,0.178,0.059,0.021,0.71,0.03,0.002,0.039,0.313,0.017,0.18,0.171,0.204,0.08,0.076,0.034,0.27,0.076,0.002,0.279,0.269,0.041,0.084,0.072,0.005,0.047,0.055,0.181,0.067,0.024,0.18,0.004,0.089,0.192,0.071,0.25,0.0,0.185,0.098,0.01,0.204,0.08,0.007
3,0.086,0.042,0.017,1.0,0.024,0.099,0.093,0.096,0.008,0.001,0.048,0.074,0.019,0.009,0.18,0.024,0.095,0.089,0.096,0.077,0.045,0.085,0.066,0.005,0.077,0.041,0.093,0.053,0.012,0.002,0.004,0.011,0.048,0.01,0.121,0.001,0.127,0.134,0.242,0.102,0.046,0.158,0.111,0.058,0.078,0.444,0.017,0.011,0.012,0.218,0.19,0.098,0.037,0.012,0.175,0.001,0.026,0.304,0.043,0.006,0.09,0.083,0.063,0.022,0.001,0.049,0.021,0.215,0.071,0.086,0.04,0.082,0.033,0.004,0.064,0.098,0.03,0.049,0.073,0.199
4,0.853,0.232,0.023,0.024,1.0,0.004,0.554,0.002,0.015,0.002,0.018,0.01,0.031,0.0,0.221,0.007,0.557,0.874,0.552,0.182,0.062,0.842,0.162,0.001,0.187,0.661,0.006,0.232,0.022,0.274,0.001,0.005,0.172,0.088,0.027,0.0,0.029,0.015,0.104,0.147,0.006,0.127,0.017,0.412,0.001,0.0,0.012,0.0,0.002,0.114,0.211,0.857,0.038,0.014,0.206,0.253,0.011,0.024,0.021,0.007,0.855,0.412,0.329,0.019,0.0,0.222,0.012,0.095,0.405,0.83,0.155,0.859,0.143,0.178,0.002,0.783,0.001,0.25,0.053,0.711
5,0.011,0.211,0.106,0.099,0.004,1.0,0.001,0.068,0.131,0.538,0.148,0.088,0.272,0.259,0.014,0.055,0.0,0.004,0.0,0.21,0.045,0.009,0.201,0.113,0.193,0.002,0.159,0.058,0.292,0.149,0.324,0.532,0.151,0.014,0.14,0.337,0.135,0.07,0.022,0.156,0.208,0.171,0.029,0.001,0.083,0.243,0.05,0.501,0.49,0.03,0.022,0.006,0.18,0.064,0.015,0.163,0.055,0.139,0.137,0.037,0.012,0.004,0.003,0.283,0.325,0.007,0.054,0.026,0.001,0.014,0.026,0.008,0.135,0.063,0.815,0.005,0.09,0.013,0.122,0.014
6,0.257,0.262,0.025,0.093,0.554,0.001,1.0,0.187,0.023,0.002,0.006,0.139,0.003,0.0,0.126,0.085,1.0,0.262,1.0,0.208,0.087,0.251,0.219,0.009,0.24,0.927,0.007,0.036,0.007,0.143,0.002,0.0,0.061,0.003,0.03,0.0,0.03,0.002,0.07,0.185,0.003,0.01,0.244,0.856,0.0,0.011,0.036,0.0,0.001,0.076,0.136,0.265,0.002,0.002,0.157,0.125,0.09,0.011,0.003,0.017,0.255,0.868,0.926,0.004,0.001,0.745,0.046,0.087,0.877,0.283,0.328,0.262,0.047,0.026,0.002,0.611,0.04,0.402,0.083,0.767
7,0.034,0.039,0.276,0.096,0.002,0.068,0.187,1.0,0.085,0.055,0.014,0.1,0.219,0.019,0.049,0.037,0.176,0.034,0.163,0.201,0.12,0.03,0.19,0.089,0.178,0.079,0.01,0.085,0.206,0.001,0.029,0.096,0.112,0.021,0.093,0.096,0.087,0.027,0.04,0.269,0.065,0.179,0.193,0.079,0.006,0.25,0.027,0.091,0.113,0.042,0.057,0.031,0.022,0.083,0.08,0.0,0.045,0.142,0.017,0.081,0.044,0.071,0.304,0.211,0.098,0.1,0.025,0.047,0.087,0.024,0.456,0.037,0.109,0.025,0.101,0.007,0.033,0.416,0.133,0.014
8,0.012,0.077,0.103,0.008,0.015,0.131,0.023,0.085,1.0,0.264,0.329,0.097,0.17,0.265,0.184,0.239,0.015,0.012,0.022,0.007,0.005,0.008,0.006,0.682,0.007,0.032,0.246,0.104,0.206,0.032,0.537,0.195,0.039,0.384,0.233,0.262,0.22,0.138,0.145,0.022,0.194,0.031,0.153,0.056,0.138,0.047,0.851,0.211,0.208,0.126,0.192,0.011,0.22,0.196,0.173,0.032,0.224,0.105,0.314,0.021,0.006,0.047,0.03,0.197,0.225,0.039,0.88,0.144,0.053,0.01,0.006,0.007,0.03,0.261,0.208,0.029,0.306,0.011,0.236,0.037
9,0.002,0.247,0.15,0.001,0.002,0.538,0.002,0.055,0.264,1.0,0.11,0.068,0.117,0.864,0.017,0.052,0.004,0.002,0.006,0.151,0.149,0.002,0.143,0.322,0.125,0.003,0.128,0.046,0.109,0.078,0.67,0.311,0.239,0.154,0.032,0.337,0.027,0.091,0.15,0.138,0.177,0.06,0.019,0.002,0.183,0.095,0.31,0.309,0.298,0.165,0.023,0.0,0.158,0.192,0.019,0.055,0.034,0.082,0.115,0.117,0.001,0.003,0.008,0.101,0.302,0.008,0.33,0.163,0.004,0.0,0.064,0.001,0.259,0.102,0.417,0.001,0.225,0.046,0.003,0.007
