,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.184,0.004,0.052,0.0,0.04,0.462,0.038,0.238,0.882,0.016,0.797,0.008,0.0,0.046,0.539,0.004,0.546,0.038,0.002,0.045,0.151,0.05,0.0,0.133,0.001,0.007,0.056,0.082,0.366,0.023,0.031,0.004,0.07,0.068,0.013,0.155,0.274,0.078,0.001,0.001,0.007,0.178,0.076,0.0,0.02,0.751,0.173,0.226,0.077,0.518,0.011,0.038,0.002,0.462,0.102,0.02,0.001,0.001,0.12,0.022,0.058,0.076,0.095,0.008,0.029,0.0,0.0,0.003,0.407,0.0,0.066,0.729,0.007,0.074,0.0,0.125,0.001,0.01,0.148,0.32,0.0,0.014,0.245,0.17,0.02,0.001,0.436,0.168,0.06,0.719,0.225,0.01,0.07,0.032,0.002,0.185,0.234,0.019,0.118
1,0.184,1.0,0.004,0.01,0.04,0.212,0.15,0.211,0.001,0.208,0.149,0.123,0.008,0.029,0.056,0.218,0.165,0.229,0.013,0.095,0.238,0.287,0.014,0.093,0.083,0.037,0.197,0.052,0.115,0.078,0.267,0.235,0.05,0.114,0.011,0.038,0.082,0.225,0.065,0.111,0.295,0.028,0.271,0.09,0.109,0.052,0.131,0.218,0.226,0.29,0.23,0.483,0.04,0.088,0.085,0.079,0.002,0.008,0.079,0.003,0.284,0.106,0.031,0.033,0.437,0.057,0.032,0.112,0.283,0.003,0.201,0.117,0.069,0.028,0.313,0.058,0.023,0.08,0.041,0.01,0.133,0.559,0.024,0.224,0.348,0.02,0.294,0.119,0.026,0.106,0.193,0.022,0.109,0.0,0.121,0.05,0.165,0.216,0.096,0.006
2,0.004,0.004,1.0,0.008,0.002,0.026,0.108,0.026,0.067,0.012,0.16,0.071,0.688,0.03,0.029,0.171,0.094,0.051,0.334,0.004,0.231,0.006,0.015,0.069,0.693,0.138,0.22,0.211,0.01,0.482,0.001,0.238,0.025,0.006,0.013,0.09,0.156,0.204,0.043,0.071,0.012,0.103,0.001,0.004,0.014,0.661,0.002,0.013,0.109,0.022,0.059,0.004,0.007,0.062,0.02,0.001,0.043,0.148,0.059,0.027,0.005,0.06,0.058,0.156,0.002,0.292,0.031,0.107,0.011,0.282,0.001,0.003,0.002,0.741,0.023,0.038,0.215,0.06,0.076,0.178,0.035,0.008,0.66,0.283,0.011,0.658,0.01,0.101,0.073,0.067,0.086,0.038,0.488,0.106,0.128,0.004,0.277,0.272,0.022,0.027
3,0.052,0.01,0.008,1.0,0.169,0.2,0.001,0.208,0.089,0.07,0.172,0.037,0.024,0.133,0.14,0.017,0.131,0.002,0.018,0.018,0.083,0.199,1.0,0.117,0.047,0.219,0.106,0.006,0.105,0.03,0.08,0.113,0.124,0.059,1.0,0.018,0.146,0.003,0.222,0.158,0.089,0.196,0.275,0.098,0.603,0.014,0.106,0.129,0.189,0.205,0.003,0.095,0.08,0.07,0.005,0.107,0.022,0.166,0.144,0.012,0.073,0.404,0.038,0.164,0.093,0.18,0.146,0.038,0.074,0.073,0.043,0.064,0.01,0.01,0.193,0.643,0.056,0.148,0.014,0.005,0.083,0.022,0.015,0.029,0.684,0.012,0.081,0.003,0.21,0.384,0.069,0.007,0.075,0.021,0.319,0.172,0.026,0.034,0.043,0.008
4,0.0,0.04,0.002,0.169,1.0,0.025,0.021,0.023,0.018,0.013,0.096,0.015,0.019,0.728,0.126,0.011,0.112,0.002,0.006,0.028,0.058,0.327,0.219,0.093,0.042,0.044,0.068,0.012,0.355,0.008,0.019,0.069,0.695,0.23,0.188,0.067,0.363,0.004,0.028,0.122,0.034,0.096,0.265,0.04,0.037,0.024,0.047,0.042,0.042,0.042,0.002,0.012,0.248,0.145,0.061,0.33,0.15,0.103,0.111,0.136,0.03,0.007,0.231,0.133,0.016,0.109,0.735,0.052,0.031,0.047,0.178,0.24,0.066,0.003,0.059,0.07,0.36,0.098,0.069,0.138,0.115,0.03,0.021,0.053,0.238,0.011,0.033,0.025,0.091,0.005,0.021,0.109,0.045,0.079,0.346,1.0,0.028,0.034,0.003,0.139
5,0.04,0.212,0.026,0.2,0.025,1.0,0.036,1.0,0.016,0.052,0.622,0.004,0.195,0.119,0.041,0.022,0.179,0.006,0.06,0.162,0.483,0.097,0.184,0.29,0.039,0.273,0.633,0.002,0.147,0.17,0.457,0.07,0.08,0.037,0.226,0.124,0.047,0.142,0.007,0.474,0.139,0.16,0.068,0.077,0.405,0.024,0.049,0.088,0.345,0.066,0.008,0.318,0.007,0.275,0.0,0.041,0.037,0.29,0.297,0.014,0.448,0.283,0.128,0.511,0.32,0.155,0.095,0.318,0.172,0.112,0.176,0.033,0.009,0.049,0.063,0.361,0.04,0.303,0.136,0.005,0.057,0.147,0.022,0.11,0.102,0.022,0.151,0.034,0.049,0.288,0.081,0.008,0.418,0.092,0.309,0.022,0.102,0.111,0.063,0.016
6,0.462,0.15,0.108,0.001,0.021,0.036,1.0,0.034,0.153,0.238,0.023,0.704,0.069,0.067,0.171,0.6,0.136,0.416,0.002,0.067,0.223,0.001,0.005,0.002,0.055,0.0,0.076,0.04,0.016,0.019,0.131,0.089,0.081,0.162,0.001,0.628,0.265,0.799,0.104,0.061,0.001,0.018,0.003,0.049,0.0,0.057,0.076,0.244,0.217,0.007,0.455,0.049,0.059,0.011,0.758,0.12,0.497,0.0,0.002,0.645,0.146,0.085,0.028,0.0,0.066,0.119,0.05,0.0,0.0,0.334,0.002,0.162,0.735,0.05,0.006,0.005,0.0,0.003,0.607,0.631,0.006,0.016,0.111,0.351,0.04,0.111,0.0,1.0,0.035,0.094,0.13,0.715,0.079,0.027,0.039,0.021,0.322,0.386,0.119,0.62
7,0.038,0.211,0.026,0.208,0.023,1.0,0.034,1.0,0.006,0.039,0.618,0.008,0.207,0.094,0.045,0.027,0.156,0.001,0.057,0.158,0.478,0.103,0.199,0.297,0.03,0.265,0.61,0.005,0.163,0.173,0.498,0.065,0.088,0.04,0.218,0.123,0.035,0.155,0.0,0.479,0.129,0.16,0.059,0.061,0.392,0.011,0.059,0.086,0.329,0.054,0.006,0.343,0.011,0.276,0.0,0.045,0.039,0.266,0.279,0.019,0.441,0.291,0.129,0.505,0.334,0.159,0.085,0.29,0.127,0.111,0.153,0.03,0.005,0.038,0.069,0.361,0.018,0.284,0.143,0.015,0.066,0.145,0.012,0.121,0.093,0.016,0.141,0.041,0.042,0.307,0.062,0.01,0.407,0.098,0.296,0.032,0.09,0.145,0.06,0.013
8,0.238,0.001,0.067,0.089,0.018,0.016,0.153,0.006,1.0,0.272,0.022,0.193,0.051,0.004,0.009,0.351,0.069,0.326,0.028,0.053,0.04,0.097,0.081,0.109,0.01,0.122,0.043,0.078,0.236,0.068,0.144,0.011,0.012,0.004,0.086,0.002,0.062,0.23,0.125,0.126,0.221,0.043,0.16,0.241,0.0,0.033,0.213,0.033,0.06,0.001,0.346,0.036,0.139,0.085,0.086,0.005,0.003,0.025,0.091,0.001,0.148,0.079,0.267,0.021,0.039,0.01,0.006,0.061,0.219,0.069,0.128,0.006,0.086,0.045,0.001,0.058,0.103,0.1,0.0,0.009,0.192,0.015,0.031,0.2,0.121,0.029,0.233,0.134,0.769,0.065,0.292,0.015,0.016,0.199,0.17,0.03,0.246,0.187,0.196,0.002
9,0.882,0.208,0.012,0.07,0.013,0.052,0.238,0.039,0.272,1.0,0.004,0.651,0.021,0.01,0.005,0.566,0.045,0.427,0.007,0.006,0.044,0.21,0.074,0.002,0.267,0.0,0.024,0.03,0.18,0.265,0.027,0.042,0.003,0.009,0.052,0.013,0.126,0.175,0.093,0.021,0.0,0.011,0.219,0.071,0.0,0.098,0.916,0.093,0.126,0.044,0.429,0.005,0.059,0.001,0.209,0.036,0.029,0.0,0.0,0.001,0.021,0.076,0.136,0.042,0.008,0.014,0.005,0.001,0.0,0.327,0.0,0.011,0.443,0.023,0.044,0.001,0.232,0.001,0.021,0.019,0.678,0.006,0.027,0.144,0.233,0.034,0.0,0.236,0.213,0.064,0.822,0.04,0.024,0.108,0.029,0.011,0.261,0.17,0.002,0.001
