,0
0,106
1,94
2,0
3,81
4,186
5,12
6,43
7,182
8,125
9,175
10,22
11,31
12,116
13,34
14,42
15,68
16,122
17,62
18,36
19,83
20,172
21,111
22,198
23,6
24,176
25,137
26,28
27,77
28,184
29,137
30,66
31,9
32,110
33,164
34,28
35,64
36,124
37,141
38,2
39,165
40,199
41,87
42,3
43,111
44,80
45,82
46,50
47,189
48,28
49,35
50,53
51,26
52,113
53,103
54,42
55,46
56,197
57,28
58,127
59,171
60,83
61,62
62,74
63,137
64,75
65,96
66,166
67,31
68,150
69,126
70,91
71,57
72,21
73,61
74,41
75,115
76,107
77,99
78,169
79,151
80,52
81,23
82,122
83,72
84,41
85,60
86,47
87,143
88,36
89,193
90,94
91,42
92,0
93,134
94,67
95,31
96,29
97,16
98,195
99,26
